,Request Id,decode_time_execution_plus_preemption_normalized,cdf
25,26,0.010155963312532282,0.0078125
29,29,0.010155963312532282,0.015625
32,32,0.010155963312532282,0.0234375
5,5,0.010155963312532944,0.03125
2,2,0.010155963312533094,0.0390625
35,35,0.010155963312534044,0.046875
62,62,0.010155963312534044,0.0546875
71,71,0.010155963312534044,0.0625
74,74,0.010155963312537597,0.0703125
83,83,0.010155963312537597,0.078125
98,98,0.010155963312537597,0.0859375
118,119,0.010342751645867454,0.09375
59,59,0.010416472979201896,0.1015625
23,23,0.010456773979199377,0.109375
17,17,0.010468374229199821,0.1171875
107,107,0.010497059895866467,0.125
101,101,0.010508077722403308,0.1328125
53,53,0.010524727139068768,0.140625
38,38,0.010538317722402185,0.1484375
116,116,0.010538317722402935,0.15625
80,80,0.01057693789586489,0.1640625
50,50,0.01058523139586695,0.171875
20,20,0.010640890389067847,0.1796875
113,113,0.010645221812529693,0.1875
125,125,0.01066077764586254,0.1953125
95,95,0.010684305645861814,0.203125
77,77,0.010753918222401349,0.2109375
56,56,0.010774948389069783,0.21875
22,22,0.010783087902413752,0.2265625
30,30,0.010783087902413752,0.234375
31,31,0.010783087902413752,0.2421875
34,34,0.010783087902413752,0.25
33,33,0.010783087902413765,0.2578125
21,21,0.010783087902414085,0.265625
73,73,0.010783087902417277,0.2734375
84,84,0.010783087902417277,0.28125
85,85,0.010783087902417277,0.2890625
93,93,0.010783087902417277,0.296875
96,96,0.010783087902417277,0.3046875
97,97,0.010783087902417277,0.3125
99,100,0.010783087902417277,0.3203125
109,109,0.010783087902417277,0.328125
111,111,0.010783087902417277,0.3359375
112,112,0.010783087902417277,0.34375
114,114,0.010783087902417277,0.3515625
127,127,0.010783087902417277,0.359375
36,36,0.010783087902417304,0.3671875
37,37,0.010783087902417304,0.375
60,60,0.010783087902417304,0.3828125
61,61,0.010783087902417304,0.390625
63,63,0.010783087902417304,0.3984375
18,19,0.010793005860135894,0.40625
120,120,0.010793005860137983,0.4140625
57,57,0.010796941441106933,0.421875
123,124,0.010803779446253936,0.4296875
68,68,0.01080406131253453,0.4375
94,94,0.010806997331029022,0.4453125
28,28,0.010809698423004069,0.453125
82,82,0.010812613843377894,0.4609375
75,75,0.010813748167967041,0.46875
4,4,0.01081488139255564,0.4765625
58,58,0.010821732975686893,0.484375
110,110,0.010823366472399454,0.4921875
106,106,0.010827661687627776,0.5
81,81,0.010828838330015522,0.5078125
104,104,0.01082997888906645,0.515625
108,108,0.01083252457497702,0.5234375
122,122,0.010839753972398947,0.53125
69,69,0.010847361290416274,0.5390625
27,27,0.010850509139184006,0.546875
3,3,0.010850809549782061,0.5546875
126,126,0.010856073197728022,0.5625
90,90,0.0108602789460846,0.5703125
70,70,0.010864106470130808,0.578125
52,52,0.010864547311991102,0.5859375
51,51,0.01088345713110686,0.59375
19,18,0.01090653807479823,0.6015625
92,92,0.010915400305730405,0.609375
86,86,0.010933839639063747,0.6171875
65,65,0.010994795639068217,0.625
89,89,0.011021038055728127,0.6328125
117,117,0.011047351042744846,0.640625
100,99,0.011050297398713493,0.6484375
54,54,0.011050297398715742,0.65625
115,115,0.011053538390279005,0.6640625
26,25,0.011059856880611924,0.671875
72,72,0.01106350537557338,0.6796875
1,1,0.011064526250163359,0.6875
15,15,0.01107007106497726,0.6953125
119,118,0.011070492035348434,0.703125
55,55,0.011071010683296995,0.7109375
121,121,0.011071775648929527,0.71875
102,102,0.011073418583704697,0.7265625
16,16,0.011075743759117046,0.734375
103,103,0.011076969395234781,0.7421875
78,78,0.01107814528762252,0.75
76,76,0.011083714863963756,0.7578125
88,88,0.011085180541948292,0.765625
66,66,0.011097865848025856,0.7734375
24,24,0.011102143496791894,0.78125
0,0,0.011102551507389745,0.7890625
105,105,0.011108099367575452,0.796875
124,123,0.011109698155334857,0.8046875
91,91,0.011110484970559442,0.8125
79,79,0.011113831904923932,0.8203125
87,87,0.011115236753691804,0.828125
67,67,0.011144448954813896,0.8359375
8,8,0.011239526355262496,0.84375
49,49,0.011247638169243873,0.8515625
13,13,0.011258123509221306,0.859375
10,10,0.011260668608915995,0.8671875
48,48,0.011269338326058392,0.875
12,12,0.011275114032380934,0.8828125
9,9,0.011277443639277168,0.890625
14,14,0.011280510639067744,0.8984375
11,11,0.011343276195394707,0.90625
64,64,0.011346354849120971,0.9140625
39,39,0.011414953133974198,0.921875
7,7,0.01148950567134423,0.9296875
6,6,0.011511477742860675,0.9375
42,42,0.011563147234594506,0.9453125
45,45,0.011609090071177525,0.953125
47,47,0.011671993945393255,0.9609375
43,43,0.011683828294026644,0.96875
46,46,0.011707616991531583,0.9765625
41,41,0.01175680760526343,0.984375
40,40,0.011843217130216133,0.9921875
44,44,0.011876096411587933,1.0
