,Request Id,prefill_time_execution_plus_preemption,cdf
74,74,0.15449373297315105,0.0078125
77,77,0.15449373297315105,0.015625
83,83,0.15449373297315105,0.0234375
86,86,0.15449373297315105,0.03125
98,98,0.15449373297315105,0.0390625
101,101,0.15449373297315105,0.046875
110,110,0.15449373297315105,0.0546875
116,116,0.15449373297315105,0.0625
122,122,0.15449373297315105,0.0703125
25,26,0.15449373297315816,0.078125
29,29,0.15449373297315816,0.0859375
32,32,0.15449373297315816,0.09375
35,35,0.15449373297315816,0.1015625
5,5,0.15449373297315994,0.109375
8,8,0.15449373297315994,0.1171875
2,2,0.15449373297316038,0.125
20,20,0.1544937329731617,0.1328125
38,38,0.15449373297316527,0.140625
53,53,0.15449373297316527,0.1484375
62,62,0.15449373297316527,0.15625
65,65,0.15449373297316527,0.1640625
71,71,0.15449373297316527,0.171875
73,73,0.1700335493566172,0.1796875
76,76,0.1700335493566172,0.1875
78,78,0.1700335493566172,0.1953125
84,84,0.1700335493566172,0.203125
85,85,0.1700335493566172,0.2109375
87,87,0.1700335493566172,0.21875
88,88,0.1700335493566172,0.2265625
93,93,0.1700335493566172,0.234375
96,96,0.1700335493566172,0.2421875
97,97,0.1700335493566172,0.25
99,100,0.1700335493566172,0.2578125
100,99,0.1700335493566172,0.265625
103,103,0.1700335493566172,0.2734375
109,109,0.1700335493566172,0.28125
111,111,0.1700335493566172,0.2890625
112,112,0.1700335493566172,0.296875
114,114,0.1700335493566172,0.3046875
115,115,0.1700335493566172,0.3125
117,117,0.1700335493566172,0.3203125
124,123,0.1700335493566172,0.328125
127,127,0.1700335493566172,0.3359375
6,6,0.17003354935662784,0.34375
7,7,0.17003354935662784,0.3515625
0,0,0.17003354935663006,0.359375
1,1,0.17003354935663006,0.3671875
22,22,0.1700335493566314,0.375
24,24,0.1700335493566314,0.3828125
26,25,0.1700335493566314,0.390625
30,30,0.1700335493566314,0.3984375
31,31,0.1700335493566314,0.40625
33,33,0.1700335493566314,0.4140625
34,34,0.1700335493566314,0.421875
36,36,0.1700335493566456,0.4296875
37,37,0.1700335493566456,0.4375
39,39,0.1700335493566456,0.4453125
40,40,0.1700335493566456,0.453125
54,54,0.1700335493566456,0.4609375
55,55,0.1700335493566456,0.46875
60,60,0.1700335493566456,0.4765625
61,61,0.1700335493566456,0.484375
63,63,0.1700335493566456,0.4921875
64,64,0.1700335493566456,0.5
66,66,0.1700335493566456,0.5078125
72,72,0.1700335493566456,0.515625
44,44,0.17062041508667392,0.5234375
68,68,0.17062041508667392,0.53125
11,11,0.1707268684200276,0.5390625
89,89,0.17072686842004714,0.546875
95,95,0.1707654817533637,0.5546875
113,113,0.1707654817533637,0.5625
125,125,0.1707654817533637,0.5703125
80,80,0.17097838842002488,0.578125
107,107,0.17097838842002488,0.5859375
23,23,0.17107161508669577,0.59375
17,17,0.17107161508669932,0.6015625
59,59,0.17107161508670288,0.609375
41,41,0.17120942842002762,0.6171875
56,56,0.17120942842002762,0.625
104,104,0.17120942842004183,0.6328125
118,119,0.17120942842004183,0.640625
92,92,0.17146222842006864,0.6484375
47,47,0.17472766525926886,0.65625
14,14,0.17522153192594558,0.6640625
50,50,0.17551721192594982,0.671875
21,21,0.1831084647732304,0.6796875
43,43,0.18537449701408093,0.6875
69,69,0.18537449701408093,0.6953125
9,9,0.18537449701409514,0.703125
27,27,0.18537449701409514,0.7109375
3,3,0.18537449701409603,0.71875
126,126,0.18538474981411923,0.7265625
90,90,0.18539158501411634,0.734375
10,10,0.18547753701409597,0.7421875
42,42,0.1855108170140909,0.75
58,58,0.1855108170140909,0.7578125
106,106,0.1855115850140976,0.765625
94,94,0.18551222501406528,0.7734375
102,102,0.18551222501406528,0.78125
119,118,0.18551222501406528,0.7890625
120,120,0.18551222501406528,0.796875
121,121,0.18551222501406528,0.8046875
123,124,0.18551222501406528,0.8125
18,19,0.18551222501409725,0.8203125
19,18,0.18551222501409725,0.828125
57,57,0.1855122250141079,0.8359375
67,67,0.1855123786140922,0.84375
79,79,0.18551273701410764,0.8515625
81,81,0.18551273701410764,0.859375
91,91,0.18551273701410764,0.8671875
108,108,0.18551273701410764,0.875
15,15,0.18551862501409389,0.8828125
16,16,0.18551862501409389,0.890625
4,4,0.18551862501409655,0.8984375
28,28,0.18551862501410454,0.90625
75,75,0.18551862501411165,0.9140625
82,82,0.18551862501411165,0.921875
105,105,0.18551862501411165,0.9296875
46,46,0.18607143341685628,0.9375
48,48,0.18607776941685472,0.9453125
51,51,0.18607776941685472,0.953125
70,70,0.18607776941685472,0.9609375
52,52,0.18608086701685522,0.96875
12,12,0.18608480941684924,0.9765625
13,13,0.18608480941685102,0.984375
45,45,0.18608480941685457,0.9921875
49,49,0.18785041683885595,1.0
