,Request Id,prefill_time_execution_plus_preemption_normalized,cdf
74,74,7.543639305329641e-05,0.0078125
77,77,7.543639305329641e-05,0.015625
83,83,7.543639305329641e-05,0.0234375
86,86,7.543639305329641e-05,0.03125
98,98,7.543639305329641e-05,0.0390625
101,101,7.543639305329641e-05,0.046875
110,110,7.543639305329641e-05,0.0546875
116,116,7.543639305329641e-05,0.0625
122,122,7.543639305329641e-05,0.0703125
25,26,7.543639305329988e-05,0.078125
29,29,7.543639305329988e-05,0.0859375
32,32,7.543639305329988e-05,0.09375
35,35,7.543639305329988e-05,0.1015625
5,5,7.543639305330075e-05,0.109375
8,8,7.543639305330075e-05,0.1171875
2,2,7.543639305330097e-05,0.125
20,20,7.543639305330162e-05,0.1328125
38,38,7.543639305330335e-05,0.140625
53,53,7.543639305330335e-05,0.1484375
62,62,7.543639305330335e-05,0.15625
65,65,7.543639305330335e-05,0.1640625
71,71,7.543639305330335e-05,0.171875
73,73,8.302419402178574e-05,0.1796875
76,76,8.302419402178574e-05,0.1875
78,78,8.302419402178574e-05,0.1953125
84,84,8.302419402178574e-05,0.203125
85,85,8.302419402178574e-05,0.2109375
87,87,8.302419402178574e-05,0.21875
88,88,8.302419402178574e-05,0.2265625
93,93,8.302419402178574e-05,0.234375
96,96,8.302419402178574e-05,0.2421875
97,97,8.302419402178574e-05,0.25
99,100,8.302419402178574e-05,0.2578125
100,99,8.302419402178574e-05,0.265625
103,103,8.302419402178574e-05,0.2734375
109,109,8.302419402178574e-05,0.28125
111,111,8.302419402178574e-05,0.2890625
112,112,8.302419402178574e-05,0.296875
114,114,8.302419402178574e-05,0.3046875
115,115,8.302419402178574e-05,0.3125
117,117,8.302419402178574e-05,0.3203125
124,123,8.302419402178574e-05,0.328125
127,127,8.302419402178574e-05,0.3359375
6,6,8.302419402179094e-05,0.34375
7,7,8.302419402179094e-05,0.3515625
0,0,8.302419402179202e-05,0.359375
1,1,8.302419402179202e-05,0.3671875
22,22,8.302419402179267e-05,0.375
24,24,8.302419402179267e-05,0.3828125
26,25,8.302419402179267e-05,0.390625
30,30,8.302419402179267e-05,0.3984375
31,31,8.302419402179267e-05,0.40625
33,33,8.302419402179267e-05,0.4140625
34,34,8.302419402179267e-05,0.421875
36,36,8.302419402179961e-05,0.4296875
37,37,8.302419402179961e-05,0.4375
39,39,8.302419402179961e-05,0.4453125
40,40,8.302419402179961e-05,0.453125
54,54,8.302419402179961e-05,0.4609375
55,55,8.302419402179961e-05,0.46875
60,60,8.302419402179961e-05,0.4765625
61,61,8.302419402179961e-05,0.484375
63,63,8.302419402179961e-05,0.4921875
64,64,8.302419402179961e-05,0.5
66,66,8.302419402179961e-05,0.5078125
72,72,8.302419402179961e-05,0.515625
44,44,8.331074955404e-05,0.5234375
68,68,8.331074955404e-05,0.53125
11,11,8.33627287207166e-05,0.5390625
89,89,8.336272872072614e-05,0.546875
95,95,8.338158288738462e-05,0.5546875
113,113,8.338158288738462e-05,0.5625
125,125,8.338158288738462e-05,0.5703125
80,80,8.348554122071528e-05,0.578125
107,107,8.348554122071528e-05,0.5859375
23,23,8.353106205405067e-05,0.59375
17,17,8.35310620540524e-05,0.6015625
59,59,8.353106205405414e-05,0.609375
41,41,8.359835372071661e-05,0.6171875
56,56,8.359835372071661e-05,0.625
104,104,8.359835372072355e-05,0.6328125
118,119,8.359835372072355e-05,0.640625
92,92,8.372179122073664e-05,0.6484375
47,47,8.531624280237737e-05,0.65625
14,14,8.555738863571562e-05,0.6640625
50,50,8.570176363571769e-05,0.671875
21,21,8.94084300650539e-05,0.6796875
43,43,9.05148911201567e-05,0.6875
69,69,9.05148911201567e-05,0.6953125
9,9,9.051489112016364e-05,0.703125
27,27,9.051489112016364e-05,0.7109375
3,3,9.051489112016408e-05,0.71875
126,126,9.05198973701754e-05,0.7265625
90,90,9.0523234870174e-05,0.734375
10,10,9.056520362016405e-05,0.7421875
42,42,9.058145362016157e-05,0.75
58,58,9.058145362016157e-05,0.7578125
106,106,9.058182862016484e-05,0.765625
94,94,9.058214112014906e-05,0.7734375
102,102,9.058214112014906e-05,0.78125
119,118,9.058214112014906e-05,0.7890625
120,120,9.058214112014906e-05,0.796875
121,121,9.058214112014906e-05,0.8046875
123,124,9.058214112014906e-05,0.8125
18,19,9.058214112016467e-05,0.8203125
19,18,9.058214112016467e-05,0.828125
57,57,9.058214112016988e-05,0.8359375
67,67,9.05822161201622e-05,0.84375
79,79,9.058239112016975e-05,0.8515625
81,81,9.058239112016975e-05,0.859375
91,91,9.058239112016975e-05,0.8671875
108,108,9.058239112016975e-05,0.875
15,15,9.058526612016303e-05,0.8828125
16,16,9.058526612016303e-05,0.890625
4,4,9.058526612016433e-05,0.8984375
28,28,9.058526612016823e-05,0.90625
75,75,9.05852661201717e-05,0.9140625
82,82,9.05852661201717e-05,0.921875
105,105,9.05852661201717e-05,0.9296875
46,46,9.085519209807436e-05,0.9375
48,48,9.08582858480736e-05,0.9453125
51,51,9.08582858480736e-05,0.953125
70,70,9.08582858480736e-05,0.9609375
52,52,9.085979834807384e-05,0.96875
12,12,9.086172334807092e-05,0.9765625
13,13,9.086172334807179e-05,0.984375
45,45,9.086172334807352e-05,0.9921875
49,49,9.172383634709763e-05,1.0
