,Time (sec),request_completion
0,7.894660495689782,1
1,7.9258492420753495,2
2,8.088373329775115,3
3,8.986611158772554,4
4,11.634060888275174,5
5,13.519077064328616,6
6,18.683216468142643,7
7,18.853871576739355,8
8,19.80643466931502,9
9,19.924423564835088,10
10,20.4107802445132,11
11,21.838692572872358,12
12,21.872878421810228,13
13,22.31561114270913,14
14,24.41683059316412,15
15,25.88594530215543,16
16,26.386019073936904,17
17,27.83870528253198,18
18,31.3568095800799,19
19,31.393884356535928,20
20,34.51663061358096,21
21,37.013802140666854,22
22,37.83234561174166,23
23,38.009514680410014,24
24,44.33367461223781,25
25,44.849093703955496,26
26,45.13276172451583,27
27,45.447248060727794,28
28,49.1867159340366,29
29,50.664937491125066,30
30,54.293024976338366,31
31,56.9097058372309,32
32,58.109803078888454,33
33,64.44643068529125,34
34,65.39778005098921,35
35,66.6672579355603,36
36,70.54080751113501,37
37,72.4681999213887,38
38,76.2840976435243,39
39,78.47090667333035,40
40,81.12883698390188,41
41,81.18008598850476,42
42,81.61518706097516,43
43,82.36512706908533,44
44,82.6162626702523,45
45,83.02239852414807,46
46,83.28177956512064,47
47,83.90733068553612,48
48,85.73332046928081,49
49,86.62414661081597,50
50,87.20747501354222,51
51,87.83081172901578,52
52,88.45132573775612,53
53,93.75472682757254,54
54,96.12780788630702,55
55,98.01717874400516,56
56,98.24712801155037,57
57,100.88287702157533,58
58,101.24985356563838,59
59,101.98347280110521,60
60,108.16851609934234,61
61,110.21181726026282,62
62,111.50333379419403,63
63,114.14787897926851,64
64,118.1374051252758,65
65,120.93408465783399,66
66,121.5226549362251,67
67,121.63218032120358,68
68,122.19687711779919,69
69,122.8632676314946,70
70,123.34042004840201,71
71,128.67152932285845,72
72,133.33261636854186,73
73,133.94477523076964,74
74,135.73911395355375,75
75,137.1164592004686,76
76,142.15639755327084,77
77,143.20012625175465,78
78,143.9971138340924,79
79,144.6023504192456,80
80,145.96224973974356,81
81,146.71083842674443,82
82,148.4618244368989,83
83,152.65268547753482,84
84,154.0089670129224,85
85,154.50414884622325,86
86,160.56579391900277,87
87,162.09897627263163,88
88,162.27420855861007,89
89,162.34611677102052,90
90,162.50980919537605,91
91,164.60958241602432,92
92,167.63740961982262,93
93,168.66120231211002,94
94,168.82545919610286,95
95,169.70694577475683,96
96,175.7537749366498,97
97,177.26005490735074,98
98,182.92342730094887,99
99,187.22654523163695,100
100,187.34026161831684,101
101,189.62129406443242,102
102,192.23688705059521,103
103,193.75762175181097,104
104,194.26304316232532,105
105,196.4653973089697,106
106,196.55783676929323,107
107,197.51245878376463,108
108,198.9088441240273,109
109,204.86339744118587,110
110,209.0410571554047,111
111,209.64736516496254,112
112,211.03600535347243,113
113,211.3654558298443,114
114,216.30477898465608,115
115,220.53168524353669,116
116,220.96126380884397,117
117,223.2749035392756,118
118,225.13325550261513,119
119,225.1873022558915,120
120,228.24569404541978,121
121,229.94155714914922,122
122,232.80418028513864,123
123,234.32997548288847,124
124,234.46948224633744,125
125,235.0266339517761,126
126,235.18303416478827,127
127,240.41925656735427,128
