,Request Id,request_e2e_time,cdf
25,26,5.354346948989686,0.0078125
29,29,5.354346948989686,0.015625
32,32,5.354346948989686,0.0234375
5,5,5.3543469489900275,0.03125
2,2,5.354346948990104,0.0390625
35,35,5.354346948990589,0.046875
62,62,5.354346948990596,0.0546875
71,71,5.354346948990596,0.0625
74,74,5.354346948992401,0.0703125
83,83,5.354346948992401,0.078125
98,98,5.354346948992401,0.0859375
118,119,5.474956500447377,0.09375
59,59,5.505931257157172,0.1015625
23,23,5.530171087886288,0.109375
17,17,5.5311521308627505,0.1171875
101,101,5.534629526843645,0.125
53,53,5.5431540281763745,0.1328125
107,107,5.549296695701713,0.140625
38,38,5.550112406843084,0.1484375
116,116,5.5501124068434535,0.15625
80,80,5.592599266453732,0.1640625
20,20,5.6026296121759,0.171875
50,50,5.605563476024571,0.1796875
113,113,5.6268085506509635,0.1875
125,125,5.630620424586567,0.1953125
95,95,5.644145393501304,0.203125
77,77,5.6604998628426415,0.2109375
22,22,5.690974555392472,0.21875
30,30,5.690974555392472,0.2265625
31,31,5.690974555392472,0.234375
34,34,5.690974555392472,0.2421875
33,33,5.690974555392479,0.25
73,73,5.690974555394263,0.2578125
84,84,5.690974555394263,0.265625
85,85,5.690974555394263,0.2734375
93,93,5.690974555394263,0.28125
96,96,5.690974555394263,0.2890625
97,97,5.690974555394263,0.296875
99,100,5.690974555394263,0.3046875
109,109,5.690974555394263,0.3125
111,111,5.690974555394263,0.3203125
112,112,5.690974555394263,0.328125
114,114,5.690974555394263,0.3359375
127,127,5.690974555394263,0.34375
36,36,5.690974555394305,0.3515625
37,37,5.690974555394305,0.359375
60,60,5.690974555394305,0.3671875
61,61,5.690974555394305,0.375
63,63,5.690974555394305,0.3828125
56,56,5.692935516031682,0.390625
110,110,5.696057366841671,0.3984375
68,68,5.703113448362359,0.40625
21,21,5.704221257314828,0.4140625
122,122,5.704447766841412,0.421875
120,120,5.712128782167923,0.4296875
57,57,5.716475612631868,0.4375
123,124,5.717548121993275,0.4453125
18,19,5.720740302855944,0.453125
94,94,5.723960754744127,0.4609375
75,75,5.724548533212072,0.46875
82,82,5.7255809809340406,0.4765625
104,104,5.726121050653887,0.484375
58,58,5.726627755079036,0.4921875
28,28,5.727424325813246,0.5
4,4,5.727676790533771,0.5078125
81,81,5.731554255016221,0.515625
106,106,5.735702978399331,0.5234375
108,108,5.7364212382356925,0.53125
69,69,5.746262295870949,0.5390625
3,3,5.7474124066473165,0.546875
126,126,5.747682810659114,0.5546875
27,27,5.749063935770721,0.5625
70,70,5.749480285041074,0.5703125
90,90,5.752442311617699,0.578125
86,86,5.75261962817379,0.5859375
52,52,5.758058525051013,0.59375
51,51,5.758703158590649,0.6015625
92,92,5.764098278674169,0.609375
19,18,5.770855016420505,0.6171875
65,65,5.783829100176092,0.625
89,89,5.821029204032811,0.6328125
117,117,5.8262772832419785,0.640625
100,99,5.827785817497926,0.6484375
54,54,5.827785817499105,0.65625
115,115,5.829445205179468,0.6640625
26,25,5.832680272229936,0.671875
72,72,5.834548301650216,0.6796875
1,1,5.83507098944027,0.6875
55,55,5.838391019204707,0.6953125
103,103,5.841441879716825,0.703125
78,78,5.842043936619348,0.7109375
76,76,5.84489555970606,0.71875
88,88,5.845645986834143,0.7265625
66,66,5.852140863545884,0.734375
24,24,5.854331019714081,0.7421875
0,0,5.85453992114018,0.75
15,15,5.856062401023372,0.7578125
121,121,5.857632355259597,0.765625
16,16,5.8580833348712,0.7734375
124,123,5.858199004888064,0.78125
102,102,5.860635470018082,0.7890625
119,118,5.860732927220624,0.796875
87,87,5.861034767246821,0.8046875
91,91,5.877468737936823,0.8125
105,105,5.879822226270534,0.8203125
79,79,5.880889530177171,0.828125
67,67,5.896412738884081,0.8359375
8,8,5.909131226867558,0.84375
49,49,5.946880573803213,0.8515625
13,13,5.95937075250702,0.859375
10,10,5.959543055731373,0.8671875
12,12,5.960021369935477,0.875
14,14,5.961606200516865,0.8828125
48,48,5.963786492108284,0.890625
9,9,5.966619767972908,0.8984375
64,64,5.979367232106583,0.90625
11,11,5.979624328358222,0.9140625
39,39,6.014489553951435,0.921875
7,7,6.052660453084874,0.9296875
6,6,6.063910153701293,0.9375
42,42,6.109017775892482,0.9453125
45,45,6.136669127004055,0.953125
47,47,6.157266459432563,0.9609375
43,43,6.175700469643289,0.96875
46,46,6.183102498953673,0.9765625
41,41,6.191194644116408,0.984375
40,40,6.2337607200273055,0.9921875
44,44,6.260525025892278,1.0
