,Request Id,request_execution_time,cdf
2,2,5.354346948990147,0.0078125
5,5,5.354346948990147,0.015625
25,26,5.354346948990147,0.0234375
29,29,5.354346948990147,0.03125
32,32,5.354346948990147,0.0390625
35,35,5.354346948990147,0.046875
62,62,5.354346948990147,0.0546875
71,71,5.354346948990147,0.0625
74,74,5.354346948990147,0.0703125
83,83,5.354346948990147,0.078125
98,98,5.354346948990147,0.0859375
118,119,5.4666982711036765,0.09375
59,59,5.504305780437005,0.1015625
23,23,5.524939892437008,0.109375
17,17,5.530879220437008,0.1171875
101,101,5.534629526842473,0.125
53,53,5.543154028175803,0.1328125
107,107,5.545473055103676,0.140625
38,38,5.550112406842468,0.1484375
116,116,5.550112406842468,0.15625
80,80,5.5863705911036865,0.1640625
50,50,5.595155686609592,0.171875
20,20,5.602629612175803,0.1796875
113,113,5.621119049770358,0.1875
125,125,5.6290836364370245,0.1953125
95,95,5.6411299724370245,0.203125
77,77,5.660499862842487,0.2109375
56,56,5.687983003622664,0.21875
22,22,5.690974555393115,0.2265625
30,30,5.690974555393115,0.234375
31,31,5.690974555393115,0.2421875
33,33,5.690974555393115,0.25
34,34,5.690974555393115,0.2578125
36,36,5.690974555393115,0.265625
37,37,5.690974555393115,0.2734375
60,60,5.690974555393115,0.28125
61,61,5.690974555393115,0.2890625
63,63,5.690974555393115,0.296875
73,73,5.690974555393115,0.3046875
84,84,5.690974555393115,0.3125
85,85,5.690974555393115,0.3203125
93,93,5.690974555393115,0.328125
96,96,5.690974555393115,0.3359375
97,97,5.690974555393115,0.34375
99,100,5.690974555393115,0.3515625
109,109,5.690974555393115,0.359375
111,111,5.690974555393115,0.3671875
112,112,5.690974555393115,0.375
114,114,5.690974555393115,0.3828125
127,127,5.690974555393115,0.390625
110,110,5.696057366842497,0.3984375
68,68,5.702299807103699,0.40625
21,21,5.704049470809714,0.4140625
122,122,5.7044477668425,0.421875
18,19,5.711531225403873,0.4296875
120,120,5.711531225403873,0.4375
57,57,5.713546242860067,0.4453125
104,104,5.716158619622676,0.453125
123,124,5.717047301495594,0.4609375
94,94,5.718694858500547,0.46875
28,28,5.7200842175926905,0.4765625
82,82,5.721576912823263,0.484375
75,75,5.72215768701293,0.4921875
4,4,5.722737898002599,0.5
58,58,5.726238100566233,0.5078125
106,106,5.7292743690786265,0.515625
81,81,5.729877961981105,0.5234375
108,108,5.731765319401345,0.53125
69,69,5.7392234777079265,0.5390625
27,27,5.740835176276923,0.546875
3,3,5.740988986502542,0.5546875
126,126,5.743694227050872,0.5625
90,90,5.745854405409542,0.5703125
70,70,5.748500282124703,0.578125
52,52,5.748729090757192,0.5859375
86,86,5.752619628175834,0.59375
51,51,5.758407820544297,0.6015625
92,92,5.760147184956036,0.609375
19,18,5.769659719310984,0.6171875
65,65,5.783829100175831,0.625
89,89,5.813498352956036,0.6328125
117,117,5.82627728324154,0.640625
54,54,5.827785817497727,0.6484375
100,99,5.827785817497727,0.65625
115,115,5.829445205179533,0.6640625
26,25,5.832680272230344,0.671875
72,72,5.83454830165059,0.6796875
1,1,5.835070989440256,0.6875
55,55,5.838391019203895,0.6953125
103,103,5.841441879716285,0.703125
78,78,5.842043936618763,0.7109375
76,76,5.8448955597055265,0.71875
88,88,5.845645986833622,0.7265625
66,66,5.852140863545575,0.734375
15,15,5.853395010282457,0.7421875
119,118,5.853604147113012,0.75
121,121,5.854261357266722,0.7578125
24,24,5.854331019714584,0.765625
0,0,5.854539921140203,0.7734375
102,102,5.855102539871676,0.78125
16,16,5.8562994296820206,0.7890625
124,123,5.858199004888553,0.796875
87,87,5.861034767247227,0.8046875
105,105,5.87286550121296,0.8125
91,91,5.874081041941046,0.8203125
79,79,5.875794672335679,0.828125
67,67,5.891470243479702,0.8359375
8,8,5.909131226867446,0.84375
49,49,5.946641159492625,0.8515625
13,13,5.950244046137901,0.859375
14,14,5.950842979128603,0.8671875
10,10,5.950939864778816,0.875
48,48,5.955978992359556,0.8828125
12,12,5.958943193995672,0.890625
9,9,5.959425640323771,0.8984375
11,11,5.9784842804619185,0.90625
64,64,5.979367232105465,0.9140625
39,39,6.0144895539505745,0.921875
7,7,6.052660453084678,0.9296875
6,6,6.0639101537011175,0.9375
42,42,6.105842201127342,0.9453125
45,45,6.129938925860379,0.953125
47,47,6.150788565301197,0.9609375
43,43,6.1674945835558646,0.96875
46,46,6.1803713330815535,0.9765625
41,41,6.190694922314307,0.984375
40,40,6.2337607200266385,0.9921875
44,44,6.251181777820207,1.0
