,Request Id,request_execution_time_normalized,cdf
2,2,0.010457708884746382,0.0078125
5,5,0.010457708884746382,0.015625
25,26,0.010457708884746382,0.0234375
29,29,0.010457708884746382,0.03125
32,32,0.010457708884746382,0.0390625
35,35,0.010457708884746382,0.046875
62,62,0.010457708884746382,0.0546875
71,71,0.010457708884746382,0.0625
74,74,0.010457708884746382,0.0703125
83,83,0.010457708884746382,0.078125
98,98,0.010457708884746382,0.0859375
118,119,0.010677145060749368,0.09375
59,59,0.010750597227416026,0.1015625
23,23,0.01079089822741603,0.109375
17,17,0.010802498477416031,0.1171875
101,101,0.010809823294614204,0.125
53,53,0.010826472711280866,0.1328125
107,107,0.010831002060749367,0.140625
38,38,0.010840063294614195,0.1484375
116,116,0.010840063294614195,0.15625
80,80,0.010910880060749388,0.1640625
50,50,0.01092803845040936,0.171875
20,20,0.010942635961280865,0.1796875
113,113,0.01097874814408273,0.1875
125,125,0.010994303977416063,0.1953125
95,95,0.011017831977416064,0.203125
77,77,0.011055663794614232,0.2109375
56,56,0.011109341803950516,0.21875
22,22,0.011115184678502178,0.2265625
30,30,0.011115184678502178,0.234375
31,31,0.011115184678502178,0.2421875
33,33,0.011115184678502178,0.25
34,34,0.011115184678502178,0.2578125
36,36,0.011115184678502178,0.265625
37,37,0.011115184678502178,0.2734375
60,60,0.011115184678502178,0.28125
61,61,0.011115184678502178,0.2890625
63,63,0.011115184678502178,0.296875
73,73,0.011115184678502178,0.3046875
84,84,0.011115184678502178,0.3125
85,85,0.011115184678502178,0.3203125
93,93,0.011115184678502178,0.328125
96,96,0.011115184678502178,0.3359375
97,97,0.011115184678502178,0.34375
99,100,0.011115184678502178,0.3515625
109,109,0.011115184678502178,0.359375
111,111,0.011115184678502178,0.3671875
112,112,0.011115184678502178,0.375
114,114,0.011115184678502178,0.3828125
127,127,0.011115184678502178,0.390625
110,110,0.011125112044614253,0.3984375
68,68,0.011137304310749413,0.40625
21,21,0.011140721622675223,0.4140625
122,122,0.011141499544614257,0.421875
18,19,0.01115533442461694,0.4296875
120,120,0.01115533442461694,0.4375
57,57,0.011159270005586069,0.4453125
104,104,0.011164372303950539,0.453125
123,124,0.011166108010733582,0.4609375
94,94,0.011169325895508881,0.46875
28,28,0.011172039487485724,0.4765625
82,82,0.011174954907857935,0.484375
75,75,0.01117608923244713,0.4921875
4,4,0.011177222457036326,0.5
58,58,0.011184058790168424,0.5078125
106,106,0.011189989002106692,0.515625
81,81,0.011191167894494345,0.5234375
108,108,0.011194854139455751,0.53125
69,69,0.011209420854898294,0.5390625
27,27,0.011212568703665866,0.546875
3,3,0.011212869114262777,0.5546875
126,126,0.011218152787208734,0.5625
90,90,0.011222371885565512,0.5703125
70,70,0.01122753961352481,0.578125
52,52,0.01122798650538514,0.5859375
86,86,0.011235585211280926,0.59375
51,51,0.01124689027450058,0.6015625
92,92,0.011250287470617258,0.609375
19,18,0.011268866639279266,0.6171875
65,65,0.01129654121128092,0.625
89,89,0.011354488970617258,0.6328125
117,117,0.011379447818831132,0.640625
54,54,0.011382394174800248,0.6484375
100,99,0.011382394174800248,0.65625
115,115,0.011385635166366275,0.6640625
26,25,0.01139195365669989,0.671875
72,72,0.011395602151661308,0.6796875
1,1,0.0113966230262505,0.6875
55,55,0.011403107459382607,0.6953125
103,103,0.01140906617132087,0.703125
78,78,0.011410242063708522,0.7109375
76,76,0.011415811640049857,0.71875
88,88,0.011417277318034418,0.7265625
66,66,0.011429962624112451,0.734375
15,15,0.011432412129457923,0.7421875
119,118,0.011432820599830102,0.75
121,121,0.011434104213411567,0.7578125
24,24,0.011434240272880047,0.765625
0,0,0.01143464828347696,0.7734375
102,102,0.011435747148186867,0.78125
16,16,0.011438084823597696,0.7890625
124,123,0.011441794931422954,0.796875
87,87,0.01144733352977974,0.8046875
105,105,0.011470440432056563,0.8125
91,91,0.011472814535041105,0.8203125
79,79,0.011476161469405622,0.828125
67,67,0.011506777819296293,0.8359375
8,8,0.01154127192747548,0.84375
49,49,0.011614533514634033,0.8515625
13,13,0.011621570402613088,0.859375
14,14,0.011622740193610552,0.8671875
10,10,0.011622929423396124,0.875
48,48,0.011632771469452258,0.8828125
12,12,0.011638560925772796,0.890625
9,9,0.011639503203757366,0.8984375
11,11,0.011676727110277185,0.90625
64,64,0.011678451625205987,0.9140625
39,39,0.011747049910059716,0.921875
7,7,0.011821602447431011,0.9296875
6,6,0.011843574518947495,0.9375
42,42,0.01192547304907684,0.9453125
45,45,0.011972536964571052,0.953125
47,47,0.012013258916603901,0.9609375
43,43,0.012045887858507548,0.96875
46,46,0.01207103775992491,0.9765625
41,41,0.012091201020145131,0.984375
40,40,0.012175313906302028,0.9921875
44,44,0.012209339409805092,1.0
