,Request Id,prefill_time_execution_plus_preemption_normalized,cdf
76,76,7.543639305329641e-05,0.0078125
77,77,7.543639305329641e-05,0.015625
83,83,7.543639305329641e-05,0.0234375
86,86,7.543639305329641e-05,0.03125
87,87,7.543639305329641e-05,0.0390625
96,96,7.543639305329641e-05,0.046875
97,97,7.543639305329641e-05,0.0546875
98,98,7.543639305329641e-05,0.0625
100,99,7.543639305329641e-05,0.0703125
109,109,7.543639305329641e-05,0.078125
110,110,7.543639305329641e-05,0.0859375
115,115,7.543639305329641e-05,0.09375
24,24,7.543639305329988e-05,0.1015625
25,25,7.543639305329988e-05,0.109375
31,31,7.543639305329988e-05,0.1171875
33,33,7.543639305329988e-05,0.125
34,34,7.543639305329988e-05,0.1328125
6,6,7.543639305330075e-05,0.140625
0,1,7.543639305330097e-05,0.1484375
1,0,7.543639305330097e-05,0.15625
21,21,7.543639305330162e-05,0.1640625
38,38,7.543639305330335e-05,0.171875
39,39,7.543639305330335e-05,0.1796875
53,53,7.543639305330335e-05,0.1875
54,54,7.543639305330335e-05,0.1953125
60,60,7.543639305330335e-05,0.203125
61,61,7.543639305330335e-05,0.2109375
64,64,7.543639305330335e-05,0.21875
65,65,7.543639305330335e-05,0.2265625
71,71,7.543639305330335e-05,0.234375
72,72,7.543639305330335e-05,0.2421875
88,89,8.313241622071033e-05,0.25
27,27,8.313241622071726e-05,0.2578125
2,2,8.313241622071748e-05,0.265625
66,67,8.31324162207242e-05,0.2734375
8,9,8.33107495540504e-05,0.28125
9,8,8.33107495540504e-05,0.2890625
3,3,8.331074955405084e-05,0.296875
23,23,8.331074955405388e-05,0.3046875
26,26,8.331074955405388e-05,0.3125
79,79,8.331074955406081e-05,0.3203125
93,94,8.331074955406081e-05,0.328125
124,124,8.332114538739388e-05,0.3359375
78,78,8.336272872072614e-05,0.34375
85,85,8.336272872072614e-05,0.3515625
89,88,8.336272872072614e-05,0.359375
112,112,8.336272872072614e-05,0.3671875
113,113,8.336272872072614e-05,0.375
104,104,8.337781205405848e-05,0.3828125
40,41,8.338158288737768e-05,0.390625
56,56,8.338158288737768e-05,0.3984375
35,35,8.338158288738462e-05,0.40625
101,101,8.338158288738462e-05,0.4140625
105,105,8.338158288738462e-05,0.421875
22,22,8.348554122071528e-05,0.4296875
74,74,8.348554122071528e-05,0.4375
75,75,8.348554122071528e-05,0.4453125
117,117,8.348554122071528e-05,0.453125
120,120,8.348554122071528e-05,0.4609375
20,20,8.348554122071701e-05,0.46875
58,57,8.348554122072221e-05,0.4765625
94,93,8.353106205404026e-05,0.484375
99,100,8.353106205404026e-05,0.4921875
103,103,8.353106205404026e-05,0.5
118,118,8.353106205404026e-05,0.5078125
55,55,8.353106205405414e-05,0.515625
62,62,8.353106205405414e-05,0.5234375
63,63,8.353106205405414e-05,0.53125
67,66,8.353106205405414e-05,0.5390625
32,32,8.359835372071661e-05,0.546875
41,40,8.359835372071661e-05,0.5546875
5,5,8.359835372071748e-05,0.5625
7,7,8.359835372071748e-05,0.5703125
19,18,8.359835372071835e-05,0.578125
121,121,8.359835372072355e-05,0.5859375
122,122,8.359835372072355e-05,0.59375
123,123,8.359835372072355e-05,0.6015625
29,29,8.372179122071582e-05,0.609375
30,30,8.372179122071582e-05,0.6171875
36,36,8.372179122071582e-05,0.625
37,37,8.372179122071582e-05,0.6328125
73,73,8.372179122073664e-05,0.640625
84,84,8.372179122073664e-05,0.6484375
102,102,8.372179122073664e-05,0.65625
111,111,8.372179122073664e-05,0.6640625
114,114,8.372179122073664e-05,0.671875
116,116,8.372179122073664e-05,0.6796875
127,127,8.372179122073664e-05,0.6875
10,10,8.523447196904892e-05,0.6953125
90,90,8.523447196905065e-05,0.703125
126,126,8.525082613572432e-05,0.7109375
69,69,8.531624280237737e-05,0.71875
42,42,8.551384696904585e-05,0.7265625
43,43,8.551384696904585e-05,0.734375
59,59,8.551384696904585e-05,0.7421875
68,68,8.551384696904585e-05,0.75
81,81,8.551384696904585e-05,0.7578125
91,91,8.551384696904585e-05,0.765625
107,107,8.551384696904585e-05,0.7734375
11,11,8.551384696904845e-05,0.78125
80,80,8.555738863570694e-05,0.7890625
82,82,8.555738863570694e-05,0.796875
95,95,8.555738863570694e-05,0.8046875
106,106,8.555738863570694e-05,0.8125
108,108,8.555738863570694e-05,0.8203125
125,125,8.555738863570694e-05,0.828125
4,4,8.555738863571562e-05,0.8359375
119,119,8.558626363570909e-05,0.84375
18,19,8.570176363571595e-05,0.8515625
57,58,8.570176363571769e-05,0.859375
92,92,8.572009696904137e-05,0.8671875
28,28,8.572009696904831e-05,0.875
46,46,8.672697196904916e-05,0.8828125
12,12,8.680874280238282e-05,0.890625
13,13,8.680874280238282e-05,0.8984375
45,45,8.70082428023819e-05,0.90625
44,44,8.705811780237993e-05,0.9140625
70,70,8.705811780237993e-05,0.921875
15,15,8.731165946905019e-05,0.9296875
17,17,8.731165946905019e-05,0.9375
47,47,9.019415050327828e-05,0.9453125
48,48,9.035258800327295e-05,0.953125
49,49,9.035258800327295e-05,0.9609375
51,51,9.035258800327295e-05,0.96875
52,52,9.035258800327295e-05,0.9765625
14,14,9.067092133660873e-05,0.984375
16,16,9.067092133660873e-05,0.9921875
50,50,9.159315548738084e-05,1.0
