,Request Id,prefill_time_execution_plus_preemption_normalized,cdf
98,98,7.543639305329641e-05,0.0078125
122,124,7.543639305329641e-05,0.015625
33,33,7.543639305329988e-05,0.0234375
0,0,7.543639305330097e-05,0.03125
25,25,8.313241622071726e-05,0.0390625
1,1,8.313241622071748e-05,0.046875
34,34,8.331074955405388e-05,0.0546875
97,97,8.331074955406081e-05,0.0625
87,87,8.332114538739388e-05,0.0703125
61,61,8.336272872071226e-05,0.078125
65,65,8.348554122072221e-05,0.0859375
115,115,8.353106205404026e-05,0.09375
6,6,8.353106205405067e-05,0.1015625
72,72,8.353106205405414e-05,0.109375
109,109,8.359835372072355e-05,0.1171875
110,110,8.359835372072355e-05,0.125
60,60,8.372179122071582e-05,0.1328125
86,86,8.372179122073664e-05,0.140625
26,26,8.510165946904596e-05,0.1484375
2,2,8.5101659469049e-05,0.15625
78,78,8.523447196905065e-05,0.1640625
7,7,8.531624280238258e-05,0.171875
35,35,8.531624280238431e-05,0.1796875
112,112,8.531624280239125e-05,0.1875
55,55,8.551384696904585e-05,0.1953125
62,62,8.551384696904585e-05,0.203125
73,73,8.551384696904585e-05,0.2109375
74,74,8.551384696904585e-05,0.21875
84,84,8.551384696904585e-05,0.2265625
101,101,8.551384696904585e-05,0.234375
111,111,8.551384696904585e-05,0.2421875
116,116,8.551384696904585e-05,0.25
117,117,8.551384696904585e-05,0.2578125
32,32,8.551384696904932e-05,0.265625
77,77,8.555738863570694e-05,0.2734375
123,122,8.555738863570694e-05,0.28125
37,37,8.555738863571388e-05,0.2890625
39,39,8.555738863571388e-05,0.296875
30,30,8.570176363571422e-05,0.3046875
31,31,8.570176363571422e-05,0.3125
38,38,8.572009696904137e-05,0.3203125
64,64,8.572009696904137e-05,0.328125
76,76,8.572009696904137e-05,0.3359375
24,24,8.580665946905305e-05,0.34375
36,36,8.604522196905412e-05,0.3515625
27,27,8.656593030238052e-05,0.359375
3,3,8.656593030238226e-05,0.3671875
63,63,8.660995113572711e-05,0.375
79,79,8.67269719690561e-05,0.3828125
113,113,8.67269719690561e-05,0.390625
85,85,8.680874280236894e-05,0.3984375
104,104,8.680874280236894e-05,0.40625
56,56,8.680874280238282e-05,0.4140625
75,75,8.705811780239381e-05,0.421875
57,57,8.710620113571571e-05,0.4296875
118,118,8.711822196903751e-05,0.4375
120,120,8.711822196903751e-05,0.4453125
124,123,8.711822196903751e-05,0.453125
102,102,8.723428446905102e-05,0.4609375
100,100,8.726914905238248e-05,0.46875
21,21,8.731165946905019e-05,0.4765625
54,54,8.731165946905539e-05,0.484375
83,83,8.741905530237903e-05,0.4921875
114,114,8.741905530237903e-05,0.5
127,127,8.741905530237903e-05,0.5078125
96,96,8.762665946905612e-05,0.515625
20,20,8.857392133660921e-05,0.5234375
67,67,8.876349425327584e-05,0.53125
41,41,8.887714008661007e-05,0.5390625
68,68,8.983337966993882e-05,0.546875
42,42,8.98655046699462e-05,0.5546875
80,80,9.012842133659937e-05,0.5625
119,119,9.01941505032644e-05,0.5703125
4,4,9.019415050327525e-05,0.578125
58,58,9.019415050327828e-05,0.5859375
22,22,9.035258800327295e-05,0.59375
28,28,9.035258800327295e-05,0.6015625
105,105,9.035258800327295e-05,0.609375
121,121,9.035258800327295e-05,0.6171875
103,103,9.067092133660526e-05,0.625
10,10,9.076919715404318e-05,0.6328125
69,69,9.076919715404752e-05,0.640625
91,91,9.076919715404752e-05,0.6484375
81,81,9.089369715402362e-05,0.65625
106,106,9.108044715402941e-05,0.6640625
107,107,9.108044715402941e-05,0.671875
59,59,9.108044715403635e-05,0.6796875
23,23,9.123492632071017e-05,0.6875
90,90,9.124372450380891e-05,0.6953125
29,29,9.159315548737043e-05,0.703125
5,5,9.15931554873765e-05,0.7109375
53,53,9.163950965404566e-05,0.71875
70,70,9.167534298738095e-05,0.7265625
9,9,9.16830409040427e-05,0.734375
126,126,9.171999533713615e-05,0.7421875
108,108,9.205248882071526e-05,0.75
71,71,9.211430132070875e-05,0.7578125
82,82,9.212930132071473e-05,0.765625
92,92,9.251992632071382e-05,0.7734375
19,19,9.321759782180555e-05,0.78125
12,12,9.370255208129147e-05,0.7890625
44,44,9.376742708129548e-05,0.796875
99,99,9.849168826601973e-05,0.8046875
13,13,9.856993283713887e-05,0.8125
45,45,9.871623144824121e-05,0.8203125
46,46,9.905916547602728e-05,0.828125
47,47,9.920603184958299e-05,0.8359375
14,14,9.962414811491571e-05,0.84375
48,48,9.982945198847015e-05,0.8515625
95,95,0.00010012216894825232,0.859375
88,88,0.00010014783409936778,0.8671875
66,66,0.00010022960493268757,0.875
49,49,0.00010026498958128766,0.8828125
50,50,0.00010026498958128766,0.890625
15,15,0.00010027629226625097,0.8984375
17,17,0.00010027629226625097,0.90625
40,40,0.00010047075076602408,0.9140625
16,16,0.00010058509374795757,0.921875
94,94,0.00010063096803246407,0.9296875
51,51,0.00010101103124796063,0.9375
8,8,0.00010197147993269706,0.9453125
52,52,0.00010249417636579855,0.953125
89,89,0.00010340312576603838,0.9609375
125,125,0.0001038426986827018,0.96875
18,18,0.0001053642195160305,0.9765625
11,11,0.00010544751118269757,0.984375
43,43,0.0001054475111827019,0.9921875
93,93,0.0001071982403493682,1.0
