,Request Id,request_scheduling_delay,cdf
0,0,0.0,0.0078125
33,33,0.0,0.015625
98,98,0.0,0.0234375
122,124,0.0,0.03125
57,57,0.00011810725089844709,0.0390625
79,79,0.00015368215886724101,0.046875
40,40,0.0002864957398145407,0.0546875
62,62,0.000511289272196791,0.0625
78,78,0.0010201313011748425,0.0703125
105,105,0.001058719101507677,0.078125
65,65,0.0012819673077473226,0.0859375
11,11,0.0013106573665560006,0.09375
8,8,0.0013378853218668496,0.1015625
66,66,0.0016017376730133037,0.109375
42,42,0.0016268587864090023,0.1171875
64,64,0.0016928783508660672,0.125
21,21,0.0017994322528274154,0.1328125
37,37,0.0019338220685369834,0.140625
110,110,0.001995994917081134,0.1484375
111,111,0.002052020206292582,0.15625
23,23,0.002086806277048936,0.1640625
58,58,0.002278163150563728,0.171875
106,106,0.002417138258238083,0.1796875
25,25,0.002491085606187937,0.1875
86,86,0.002625177631927045,0.1953125
115,115,0.0027960477553961027,0.203125
53,53,0.0028470545932179903,0.2109375
117,117,0.0028609707211160185,0.21875
73,73,0.0029854370164059674,0.2265625
81,81,0.0029984511259044666,0.234375
39,39,0.003034808367374353,0.2421875
74,74,0.0031152635113187443,0.25
84,84,0.003308210807915657,0.2578125
61,61,0.0033243414198125265,0.265625
93,93,0.003363688404192544,0.2734375
18,18,0.0034952628725690715,0.28125
75,75,0.0035579355829895576,0.2890625
116,116,0.003599626761683794,0.296875
30,30,0.003874021516573123,0.3046875
28,28,0.004066880298438491,0.3125
123,122,0.004316723387745469,0.3203125
27,27,0.0043168478486492745,0.328125
36,36,0.00438833757850432,0.3359375
77,77,0.004522028175301784,0.34375
38,38,0.004534367243621773,0.3515625
109,109,0.004561059882433938,0.359375
56,56,0.004600201290912764,0.3671875
50,50,0.00460881833134863,0.375
72,72,0.004817483729425476,0.3828125
113,113,0.0049955394049163715,0.390625
99,99,0.00506474390866174,0.3984375
24,24,0.005123398077181207,0.40625
70,70,0.00512767142279813,0.4140625
118,118,0.005215994032511162,0.421875
112,112,0.00533055777015079,0.4296875
29,29,0.0053345054757656385,0.4375
45,45,0.005374310845596142,0.4453125
102,102,0.005971999338015621,0.453125
85,85,0.006275829945138867,0.4609375
68,68,0.006324913100300478,0.46875
101,101,0.006419072404213466,0.4765625
82,82,0.00646585316357573,0.484375
127,127,0.006668475998026224,0.4921875
119,119,0.006696688490563929,0.5
97,97,0.007328092237315786,0.5078125
121,121,0.0073583706867736964,0.515625
124,123,0.00741346855133429,0.5234375
31,31,0.007525245627149957,0.53125
108,108,0.0077869450395553486,0.5390625
60,60,0.00788191803673044,0.546875
76,76,0.008046207038461262,0.5546875
104,104,0.008235022408172199,0.5625
120,120,0.008269174698028792,0.5703125
34,34,0.008301955024549557,0.578125
91,91,0.008326512805723496,0.5859375
49,49,0.008340057756782926,0.59375
54,54,0.008350569075190606,0.6015625
103,103,0.00855775233438294,0.609375
87,87,0.008561658908547543,0.6171875
114,114,0.00867936092967625,0.625
55,55,0.008755092152981092,0.6328125
63,63,0.008767759417949605,0.640625
125,125,0.008863552739569514,0.6484375
80,80,0.009128541700050619,0.65625
20,20,0.00941704097939322,0.6640625
10,10,0.009443546882049958,0.671875
22,22,0.009610917638632088,0.6796875
92,92,0.009690610819916401,0.6875
59,59,0.00990945202458704,0.6953125
6,6,0.010115830565807116,0.703125
2,2,0.010141735798205875,0.7109375
7,7,0.010207633219573964,0.71875
88,88,0.010365305164526717,0.7265625
26,26,0.01059228168690396,0.734375
83,83,0.010596406033926087,0.7421875
32,32,0.010607882791092038,0.75
35,35,0.010839227458497191,0.7578125
69,69,0.0108544270043609,0.765625
3,3,0.010926757676468668,0.7734375
47,47,0.011024169070111611,0.78125
46,46,0.011040169497732677,0.7890625
96,96,0.011087814494544546,0.796875
5,5,0.011340683137650132,0.8046875
90,90,0.011476309795114048,0.8125
4,4,0.011863268125815729,0.8203125
14,14,0.012304623442464191,0.828125
107,107,0.012689284482320318,0.8359375
71,71,0.012727343980103,0.84375
16,16,0.012730415853152266,0.8515625
48,48,0.012839200193766942,0.859375
13,13,0.012845441802713964,0.8671875
43,43,0.012973580418929487,0.875
15,15,0.013449497028133806,0.8828125
17,17,0.014946818171249987,0.890625
52,52,0.015303712960815119,0.8984375
95,95,0.01613307202731562,0.90625
44,44,0.017285975140794108,0.9140625
51,51,0.01733923533095094,0.921875
94,94,0.045584838067725286,0.9296875
41,41,0.06882486019918588,0.9375
89,89,0.07566468825925199,0.9453125
67,67,0.09830657967253842,0.953125
1,1,0.10383605488768266,0.9609375
9,9,0.10564977054697522,0.96875
12,12,0.11814528964576887,0.9765625
126,126,0.13831530943977555,0.984375
100,100,0.14108081745803247,0.9921875
19,19,0.16103520273719596,1.0
