,Request Id,request_e2e_time,cdf
122,124,5.354346948992401,0.0078125
127,127,5.663828685276627,0.015625
97,97,5.70670024067141,0.0234375
98,98,5.769611909535826,0.03125
109,109,5.807593859530243,0.0390625
32,32,5.827681222734299,0.046875
96,96,5.909224916286348,0.0546875
114,114,5.996893458750719,0.0625
31,31,6.050437629595542,0.0703125
71,71,6.0543877483128625,0.078125
63,63,6.065043770052213,0.0859375
37,37,6.101855938062144,0.09375
60,60,6.110188951721625,0.1015625
33,33,6.138307890682789,0.109375
36,36,6.145883018904769,0.1171875
30,30,6.234422910843129,0.125
61,61,6.266956252573365,0.1328125
34,34,6.2681356795111185,0.140625
85,85,6.273212163740396,0.1484375
62,62,6.29126647193101,0.15625
84,84,6.302272904108833,0.1640625
35,35,6.328287103451224,0.171875
29,29,6.370580303981065,0.1796875
83,83,6.4996051140267355,0.1875
75,75,6.5136747822400025,0.1953125
74,74,6.542424814168527,0.203125
73,73,6.548640630341339,0.2109375
23,23,6.592082147423767,0.21875
59,59,6.619920422998362,0.2265625
72,72,6.624269494906173,0.234375
4,4,6.631119732243931,0.2421875
28,28,6.652068841774913,0.25
113,113,6.677197054038885,0.2578125
116,116,6.699690411081917,0.265625
99,99,6.704212122081884,0.2734375
115,115,6.708986540594765,0.28125
100,100,6.732714663112233,0.2890625
22,22,6.753674361781684,0.296875
58,58,6.7667141046014905,0.3046875
112,112,6.8059473724294435,0.3125
21,21,6.830019548395853,0.3203125
110,110,6.841434566093795,0.328125
108,108,6.880703231568134,0.3359375
111,111,6.884280934889773,0.34375
57,57,6.912146948726942,0.3515625
5,5,6.912466419729926,0.359375
53,53,6.920031310457574,0.3671875
95,95,6.936602414466648,0.375
125,125,6.952099799751977,0.3828125
126,126,6.956857053266447,0.390625
120,120,6.9970359210547315,0.3984375
119,119,7.016090725089725,0.40625
123,122,7.023605603756266,0.4140625
117,117,7.053366994036793,0.421875
121,121,7.05739465005135,0.4296875
20,20,7.062469206785675,0.4375
27,27,7.081583918658296,0.4453125
3,3,7.087164367152931,0.453125
107,107,7.1011740610289,0.4609375
101,101,7.114762168924159,0.46875
124,123,7.126229474254302,0.4765625
54,54,7.135333769294334,0.484375
118,118,7.148676359989736,0.4921875
2,2,7.1954748372995905,0.5
26,26,7.203379676521472,0.5078125
64,64,7.212815275199318,0.515625
82,82,7.221981088583334,0.5234375
56,56,7.242720460126122,0.53125
81,81,7.2539690130329575,0.5390625
24,24,7.258106484122344,0.546875
25,25,7.293287863626432,0.5546875
0,0,7.300407095092552,0.5625
86,86,7.309578372584809,0.5703125
1,1,7.316893227574756,0.578125
55,55,7.330303941679745,0.5859375
94,94,7.3690487435808905,0.59375
106,106,7.376334465342808,0.6015625
70,70,7.399545182549787,0.609375
18,18,7.425936230969249,0.6171875
80,80,7.432068475937427,0.625
93,93,7.453350150436336,0.6328125
19,19,7.465771320981535,0.640625
76,76,7.470991422681067,0.6484375
38,38,7.482117552012284,0.65625
79,79,7.5057290083947805,0.6640625
105,105,7.506816394515596,0.671875
78,78,7.561429061561967,0.6796875
92,92,7.58547789669737,0.6875
77,77,7.5860070371275015,0.6953125
69,69,7.586861587335065,0.703125
104,104,7.592508307179571,0.7109375
103,103,7.666046105435385,0.71875
102,102,7.704304409796691,0.7265625
68,68,7.752152795094062,0.734375
91,91,7.832658541220582,0.7421875
65,65,7.8550854694653225,0.75
90,90,7.9357076327611935,0.7578125
67,67,7.947079385995707,0.765625
66,66,7.958617847181856,0.7734375
17,17,8.000408598171504,0.78125
89,89,8.11360322907774,0.7890625
88,88,8.144097414057569,0.796875
87,87,8.216571837209585,0.8046875
52,52,8.301296331205947,0.8125
39,39,8.434531674053105,0.8203125
16,16,8.478427235176756,0.828125
51,51,8.596577847640177,0.8359375
15,15,8.631642352315005,0.84375
50,50,8.682976461471725,0.8515625
7,7,8.975593846807955,0.859375
49,49,8.991642793306923,0.8671875
6,6,9.054451158304364,0.875
14,14,9.058470391035598,0.8828125
48,48,9.281556862591245,0.890625
10,10,9.307908266596332,0.8984375
13,13,9.311469393381554,0.90625
8,8,9.439190208290842,0.9140625
9,9,9.44690172879838,0.921875
11,11,9.537648981210383,0.9296875
12,12,9.53909364363725,0.9375
47,47,9.63206583818004,0.9453125
46,46,9.841905239816768,0.953125
45,45,9.952907920158466,0.9609375
44,44,10.054810486770634,0.96875
42,42,10.066903952314433,0.9765625
41,41,10.123573744236282,0.984375
40,40,10.14390943693894,0.9921875
43,43,10.15184572076636,1.0
