,Request Id,request_execution_plus_preemption_time_normalized,cdf
122,124,0.010457708884746382,0.0078125
127,127,0.011049141033742691,0.015625
97,97,0.011131586227416083,0.0234375
98,98,0.011268773260808761,0.03125
109,109,0.011334048436811718,0.0390625
32,32,0.01136147136707608,0.046875
96,96,0.01151979902694392,0.0546875
114,114,0.011695730659805045,0.0625
71,71,0.011800117977211672,0.0703125
31,31,0.011802563249937151,0.078125
63,63,0.011828664083270537,0.0859375
37,37,0.011913910382798407,0.09375
60,60,0.011918568425165095,0.1015625
33,33,0.011988882598990062,0.109375
36,36,0.01199510679946509,0.1171875
30,30,0.012169040799465132,0.125
34,34,0.012226237743138432,0.1328125
61,61,0.012233656076471727,0.140625
85,85,0.01224011002694381,0.1484375
62,62,0.012286631216131738,0.15625
84,84,0.012302665416603823,0.1640625
35,35,0.012338765382798393,0.171875
29,29,0.012432120700205102,0.1796875
83,83,0.01267384513279846,0.1875
75,75,0.012715071966131704,0.1953125
74,74,0.012772088966131762,0.203125
73,73,0.012784482799465067,0.2109375
23,23,0.012871084650677224,0.21875
100,100,0.012874284854796523,0.2265625
59,59,0.012910177677683862,0.234375
4,4,0.01292823528148076,0.2421875
72,72,0.012928617209332945,0.25
28,28,0.01298437883100864,0.2578125
113,113,0.013031643583270632,0.265625
116,116,0.013078302313129822,0.2734375
99,99,0.013084272222997738,0.28125
115,115,0.013098028306331064,0.2890625
22,22,0.01317199891434202,0.296875
58,58,0.013211788948147446,0.3046875
112,112,0.01328245471613183,0.3125
126,126,0.013317464343409642,0.3203125
21,21,0.013336367414342042,0.328125
110,110,0.0133582784593329,0.3359375
108,108,0.013423664622128276,0.34375
111,111,0.013441853348992953,0.3515625
5,5,0.01347876120428196,0.359375
57,57,0.01350005633100865,0.3671875
53,53,0.013510125499732953,0.375
95,95,0.013516541684453983,0.3828125
125,125,0.013561008294944178,0.390625
120,120,0.013649935051483136,0.3984375
119,119,0.013690222727738897,0.40625
123,122,0.013709548594471935,0.4140625
121,121,0.013769602108136728,0.421875
117,117,0.013770519576794581,0.4296875
20,20,0.013775492511340063,0.4375
3,3,0.013820776581008574,0.4453125
27,27,0.013822787247675251,0.453125
107,107,0.013844696829194933,0.4609375
101,101,0.013883482610395804,0.46875
124,123,0.013903937511138645,0.4765625
54,54,0.013919889062925532,0.484375
118,118,0.013952071027266762,0.4921875
2,2,0.01403385371386975,0.5
26,26,0.01404841288053644,0.5078125
64,64,0.014084223431343591,0.515625
1,1,0.014088002290404324,0.5234375
82,82,0.014092803194177394,0.53125
56,56,0.014136953630536452,0.5390625
81,81,0.014162051878722886,0.546875
24,24,0.014165982589932166,0.5546875
25,25,0.014239837457070975,0.5625
0,0,0.014258607607602537,0.5703125
19,19,0.01426706273094566,0.578125
86,86,0.014271392958888759,0.5859375
55,55,0.01429990009673101,0.59375
94,94,0.014303640440457725,0.6015625
106,106,0.014402182279462758,0.609375
70,70,0.014442221701417117,0.6171875
18,18,0.014496955015813521,0.625
80,80,0.01449792955905429,0.6328125
93,93,0.014550754808658924,0.640625
76,76,0.014576064874304392,0.6484375
38,38,0.014604654657749492,0.65625
79,79,0.014659326809054133,0.6640625
105,105,0.014659682959794163,0.671875
78,78,0.014766423691915309,0.6796875
92,92,0.014796459542732218,0.6875
69,69,0.014796888985018257,0.6953125
77,77,0.014807587908109841,0.703125
104,104,0.014813033759321954,0.7109375
103,103,0.014956031939653412,0.71875
102,102,0.015035805489181323,0.7265625
68,68,0.015128570082016278,0.734375
91,91,0.015281898493000143,0.7421875
67,67,0.015329634387347697,0.75
65,65,0.015339459965148952,0.7578125
90,90,0.015477014302666908,0.765625
66,66,0.015541047088882235,0.7734375
17,17,0.015596605039062565,0.78125
89,89,0.01569909871253477,0.7890625
88,88,0.015886195525180405,0.796875
87,87,0.016031269879492716,0.8046875
52,52,0.016183579332510665,0.8125
39,39,0.016467767315791897,0.8203125
16,16,0.016534564100240946,0.828125
51,51,0.016756325414667244,0.8359375
15,15,0.016832407920481657,0.84375
50,50,0.016949936803009415,0.8515625
7,7,0.017510519948414772,0.859375
49,49,0.01754551315537265,0.8671875
6,6,0.01766471743698935,0.875
14,14,0.017668292514830184,0.8828125
48,48,0.0181029641843713,0.890625
10,10,0.018161063905691832,0.8984375
13,13,0.018161374905427262,0.90625
9,9,0.018244632730959658,0.9140625
12,12,0.018400289753889503,0.921875
8,8,0.01843330531829866,0.9296875
11,11,0.018625660788757367,0.9375
47,47,0.018791097009981543,0.9453125
46,46,0.01920090834046817,0.953125
45,45,0.0194287765806906,0.9609375
44,44,0.01960454006177855,0.96875
41,41,0.0196381814141366,0.9765625
42,42,0.01965874432329824,0.984375
43,43,0.01980248464911756,0.9921875
40,40,0.019811763557031178,1.0
