,Request Id,request_execution_time,cdf
122,124,5.354346948990147,0.0078125
127,127,5.657160209276258,0.015625
97,97,5.6993721484370345,0.0234375
98,98,5.769611909534086,0.03125
109,109,5.8030327996476,0.0390625
32,32,5.817073339942953,0.046875
96,96,5.898137101795287,0.0546875
114,114,5.988214097820183,0.0625
71,71,6.041660404332376,0.0703125
31,31,6.042912383967821,0.078125
63,63,6.056276010634515,0.0859375
37,37,6.0999221159927846,0.09375
60,60,6.102307033684529,0.1015625
33,33,6.138307890682912,0.109375
36,36,6.141494681326126,0.1171875
30,30,6.230548889326148,0.125
34,34,6.259833724486877,0.1328125
61,61,6.263631911153524,0.140625
85,85,6.266936333795231,0.1484375
62,62,6.29075518265945,0.15625
84,84,6.298964693301158,0.1640625
35,35,6.3174478759927775,0.171875
29,29,6.365245798505012,0.1796875
83,83,6.489008707992811,0.1875
75,75,6.510116846659432,0.1953125
74,74,6.539309550659462,0.203125
73,73,6.545655193326114,0.2109375
23,23,6.5899953411467385,0.21875
100,100,6.59163384565582,0.2265625
59,59,6.6100109709741375,0.234375
4,4,6.619256464118149,0.2421875
72,72,6.619452011178468,0.25
28,28,6.648001961476424,0.2578125
113,113,6.672201514634564,0.265625
116,116,6.696090784322469,0.2734375
99,99,6.699147378174842,0.28125
115,115,6.706190492841505,0.2890625
22,22,6.744063444143114,0.296875
58,58,6.7644359414514925,0.3046875
112,112,6.800616814659497,0.3125
126,126,6.818541743825737,0.3203125
21,21,6.828220116143125,0.328125
110,110,6.8394385711784444,0.3359375
108,108,6.872916286529677,0.34375
111,111,6.882228914684392,0.3515625
5,5,6.9011257365923635,0.359375
57,57,6.912028841476428,0.3671875
53,53,6.917184255863272,0.375
95,95,6.920469342440439,0.3828125
125,125,6.943236247011419,0.390625
120,120,6.9887667463593655,0.3984375
119,119,7.009394036602315,0.40625
123,122,7.019288880369631,0.4140625
121,121,7.0500362793660045,0.421875
117,117,7.0505060233188255,0.4296875
20,20,7.053052165806112,0.4375
3,3,7.07623760947639,0.4453125
27,27,7.077267070809729,0.453125
107,107,7.088484776547806,0.4609375
101,101,7.108343096522652,0.46875
124,123,7.118816005702986,0.4765625
54,54,7.126983200217873,0.484375
118,118,7.143460365960582,0.4921875
2,2,7.185333101501312,0.5
26,26,7.1927873948346575,0.5078125
64,64,7.211122396847919,0.515625
1,1,7.213057172687014,0.5234375
82,82,7.215515235418826,0.53125
56,56,7.238120258834663,0.5390625
81,81,7.250970561906118,0.546875
24,24,7.252983086045269,0.5546875
25,25,7.290796778020339,0.5625
0,0,7.300407095092499,0.5703125
19,19,7.304736118244178,0.578125
86,86,7.306953194951045,0.5859375
55,55,7.321548849526277,0.59375
94,94,7.323463905514355,0.6015625
106,106,7.373917327084932,0.609375
70,70,7.394417511125564,0.6171875
18,18,7.422440968096523,0.625
80,80,7.422939934235797,0.6328125
93,93,7.449986462033369,0.640625
76,76,7.462945215643849,0.6484375
38,38,7.47758318476774,0.65625
79,79,7.505575326235716,0.6640625
105,105,7.505757675414611,0.671875
78,78,7.560408930260638,0.6796875
92,92,7.575787285878896,0.6875
69,69,7.576007160329348,0.6953125
77,77,7.581485008952239,0.703125
104,104,7.5842732847728405,0.7109375
103,103,7.657488353102547,0.71875
102,102,7.6983324104608375,0.7265625
68,68,7.7458278819923345,0.734375
91,91,7.824332028416073,0.7421875
67,67,7.848772806322021,0.75
65,65,7.853803502156263,0.7578125
90,90,7.924231322965457,0.765625
66,66,7.9570161095077045,0.7734375
17,17,7.985461780000033,0.78125
89,89,8.037938540817802,0.7890625
88,88,8.133732108892367,0.796875
87,87,8.20801017830027,0.8046875
52,52,8.28599261824546,0.8125
39,39,8.431496865685451,0.8203125
16,16,8.465696819323364,0.828125
51,51,8.579238612309629,0.8359375
15,15,8.618192855286608,0.84375
50,50,8.67836764314082,0.8515625
7,7,8.965386213588364,0.859375
49,49,8.983302735550797,0.8671875
6,6,9.044335327738548,0.875
14,14,9.046165767593054,0.8828125
48,48,9.268717662398105,0.890625
10,10,9.298464719714218,0.8984375
13,13,9.298623951578758,0.90625
9,9,9.341251958251345,0.9140625
12,12,9.420948353991426,0.921875
8,8,9.437852322968913,0.9296875
11,11,9.536338323843772,0.9375
47,47,9.62104166911055,0.9453125
46,46,9.830865070319703,0.953125
45,45,9.947533609313588,0.9609375
44,44,10.037524511630618,0.96875
41,41,10.05474888403794,0.9765625
42,42,10.0652770935287,0.984375
43,43,10.138872140348191,0.9921875
40,40,10.143622941199963,1.0
