,Request Id,prefill_time_execution_plus_preemption_normalized,cdf
74,74,7.543639305329641e-05,0.0078125
75,75,7.543639305329641e-05,0.015625
76,76,7.543639305329641e-05,0.0234375
77,77,7.543639305329641e-05,0.03125
78,78,7.543639305329641e-05,0.0390625
79,79,7.543639305329641e-05,0.046875
80,80,7.543639305329641e-05,0.0546875
82,82,7.543639305329641e-05,0.0625
83,83,7.543639305329641e-05,0.0703125
84,84,7.543639305329641e-05,0.078125
85,85,7.543639305329641e-05,0.0859375
86,86,7.543639305329641e-05,0.09375
87,88,7.543639305329641e-05,0.1015625
88,90,7.543639305329641e-05,0.109375
89,87,7.543639305329641e-05,0.1171875
91,91,7.543639305329641e-05,0.125
92,92,7.543639305329641e-05,0.1328125
93,93,7.543639305329641e-05,0.140625
94,94,7.543639305329641e-05,0.1484375
95,95,7.543639305329641e-05,0.15625
96,96,7.543639305329641e-05,0.1640625
97,97,7.543639305329641e-05,0.171875
98,98,7.543639305329641e-05,0.1796875
99,99,7.543639305329641e-05,0.1875
100,100,7.543639305329641e-05,0.1953125
101,101,7.543639305329641e-05,0.203125
102,102,7.543639305329641e-05,0.2109375
103,103,7.543639305329641e-05,0.21875
104,104,7.543639305329641e-05,0.2265625
105,106,7.543639305329641e-05,0.234375
107,107,7.543639305329641e-05,0.2421875
108,108,7.543639305329641e-05,0.25
109,109,7.543639305329641e-05,0.2578125
110,110,7.543639305329641e-05,0.265625
111,111,7.543639305329641e-05,0.2734375
112,112,7.543639305329641e-05,0.28125
114,114,7.543639305329641e-05,0.2890625
115,115,7.543639305329641e-05,0.296875
116,116,7.543639305329641e-05,0.3046875
117,117,7.543639305329641e-05,0.3125
118,118,7.543639305329641e-05,0.3203125
119,119,7.543639305329641e-05,0.328125
120,120,7.543639305329641e-05,0.3359375
122,122,7.543639305329641e-05,0.34375
123,123,7.543639305329641e-05,0.3515625
124,124,7.543639305329641e-05,0.359375
125,125,7.543639305329641e-05,0.3671875
126,126,7.543639305329641e-05,0.375
127,127,7.543639305329641e-05,0.3828125
22,22,7.543639305329988e-05,0.390625
23,23,7.543639305329988e-05,0.3984375
24,24,7.543639305329988e-05,0.40625
25,25,7.543639305329988e-05,0.4140625
26,26,7.543639305329988e-05,0.421875
27,27,7.543639305329988e-05,0.4296875
28,28,7.543639305329988e-05,0.4375
29,29,7.543639305329988e-05,0.4453125
30,30,7.543639305329988e-05,0.453125
31,31,7.543639305329988e-05,0.4609375
32,32,7.543639305329988e-05,0.46875
33,33,7.543639305329988e-05,0.4765625
34,34,7.543639305329988e-05,0.484375
35,35,7.543639305329988e-05,0.4921875
4,4,7.543639305330075e-05,0.5
5,5,7.543639305330075e-05,0.5078125
6,6,7.543639305330075e-05,0.515625
7,7,7.543639305330075e-05,0.5234375
8,8,7.543639305330075e-05,0.53125
10,10,7.543639305330075e-05,0.5390625
11,11,7.543639305330075e-05,0.546875
0,0,7.543639305330097e-05,0.5546875
1,1,7.543639305330097e-05,0.5625
2,2,7.543639305330097e-05,0.5703125
3,3,7.543639305330097e-05,0.578125
13,13,7.543639305330162e-05,0.5859375
14,14,7.543639305330162e-05,0.59375
15,15,7.543639305330162e-05,0.6015625
16,16,7.543639305330162e-05,0.609375
18,18,7.543639305330162e-05,0.6171875
19,19,7.543639305330162e-05,0.625
20,20,7.543639305330162e-05,0.6328125
21,21,7.543639305330162e-05,0.640625
36,36,7.543639305330335e-05,0.6484375
37,37,7.543639305330335e-05,0.65625
38,38,7.543639305330335e-05,0.6640625
39,39,7.543639305330335e-05,0.671875
40,40,7.543639305330335e-05,0.6796875
42,42,7.543639305330335e-05,0.6875
43,43,7.543639305330335e-05,0.6953125
44,44,7.543639305330335e-05,0.703125
45,45,7.543639305330335e-05,0.7109375
46,46,7.543639305330335e-05,0.71875
47,47,7.543639305330335e-05,0.7265625
50,50,7.543639305330335e-05,0.734375
51,51,7.543639305330335e-05,0.7421875
52,52,7.543639305330335e-05,0.75
53,53,7.543639305330335e-05,0.7578125
54,54,7.543639305330335e-05,0.765625
55,55,7.543639305330335e-05,0.7734375
56,56,7.543639305330335e-05,0.78125
58,58,7.543639305330335e-05,0.7890625
59,59,7.543639305330335e-05,0.796875
60,60,7.543639305330335e-05,0.8046875
61,61,7.543639305330335e-05,0.8125
62,62,7.543639305330335e-05,0.8203125
63,63,7.543639305330335e-05,0.828125
64,64,7.543639305330335e-05,0.8359375
65,65,7.543639305330335e-05,0.84375
66,66,7.543639305330335e-05,0.8515625
67,67,7.543639305330335e-05,0.859375
68,68,7.543639305330335e-05,0.8671875
69,69,7.543639305330335e-05,0.875
70,70,7.543639305330335e-05,0.8828125
71,71,7.543639305330335e-05,0.890625
72,72,7.543639305330335e-05,0.8984375
90,89,8.313241622071033e-05,0.90625
9,9,8.33107495540504e-05,0.9140625
113,113,8.336272872072614e-05,0.921875
41,41,8.338158288737768e-05,0.9296875
17,17,8.338158288738289e-05,0.9375
81,81,8.338158288738462e-05,0.9453125
106,105,8.338158288738462e-05,0.953125
12,12,8.348554122071788e-05,0.9609375
49,49,8.348554122072221e-05,0.96875
57,57,8.348554122072221e-05,0.9765625
48,48,8.359835372071661e-05,0.984375
121,121,8.359835372072355e-05,0.9921875
73,73,8.372179122073664e-05,1.0
