,Time (sec),request_completion
0,7.394467523539692,1
1,7.445125201625172,2
2,8.088373329775115,3
3,8.5935457011153,4
4,11.260731046731488,5
5,13.519077064328616,6
6,18.243301942617272,7
7,18.600494687830203,8
8,19.25165039143749,9
9,19.67895438975154,10
10,19.805584137771852,11
11,21.213415193504275,12
12,21.4622618057144,13
13,21.71058733919225,14
14,23.809571341637398,15
15,25.735269163974806,16
16,25.882282688055845,17
17,27.947528329831915,18
18,30.977376289105564,19
19,30.990416226214098,20
20,34.268347950394975,21
21,36.663927832341905,22
22,37.49571800533887,23
23,37.83369054151341,24
24,43.83369054151341,25
25,44.65442840127558,26
26,44.849093703955496,27
27,45.05253107394676,28
28,48.81363855721304,29
29,50.664937491125066,30
30,53.95639736993558,31
31,56.573078230828116,32
32,58.109803078888454,33
33,64.10980307888853,34
34,65.06115244458688,35
35,66.6672579355603,36
36,70.2041799047313,37
37,72.131572314985,38
38,76.08833218567182,39
39,78.14072792622143,40
40,80.24942321286517,41
41,80.60784961158426,42
42,81.05551646525909,43
43,81.54377354843264,44
44,81.71008459335062,45
45,82.24007634613461,46
46,82.45302401515757,47
47,83.40320007827945,48
48,85.23763106514288,49
49,86.25669084128997,50
50,86.95625848650825,51
51,87.42645551941573,52
52,88.0476141616957,53
53,93.56591974838676,54
54,95.65436901779852,55
55,97.82706687297636,56
56,97.90853944450929,57
57,100.74146915266809,58
58,100.87757275954993,59
59,101.83188849293863,60
60,107.83188849293863,61
61,109.87518965385911,62
62,111.50333379419403,63
63,113.8112513728648,64
64,117.51238484215982,65
65,120.5046025066485,66
66,121.0248610216698,67
67,121.09011453131009,68
68,121.84811061842743,69
69,122.47135228461424,70
70,122.94528671235153,71
71,128.81685173004362,72
72,132.85241501588357,73
73,133.6649598187554,74
74,135.73911395355375,75
75,136.74625761624893,76
76,141.66584894255718,77
77,142.8939733379044,78
78,143.50941684646546,79
79,144.42852523190976,80
80,145.72399742228222,81
81,146.62039539620656,82
82,148.09059040495725,83
83,152.65268547753482,84
84,153.67233940652054,85
85,154.16752123982138,86
86,160.16752123982138,87
87,161.78290952076833,88
88,162.11171383275075,89
89,162.11435010422426,90
90,162.3098842110482,91
91,164.0864606270799,92
92,167.22765829014085,93
93,168.32457470570816,94
94,168.45584539035113,95
95,169.41714733024793,96
96,175.41714733024793,97
97,176.92342730094887,98
98,182.92342730094887,99
99,186.86682274981132,100
100,186.88991762523509,101
101,189.44101148658117,102
102,191.73059852956953,103
103,193.58968261493652,104
104,193.89126906066383,105
105,196.1764807398863,106
106,196.18933281044195,107
107,197.31750903705532,108
108,198.526769834784,109
109,204.526769834784,110
110,208.69934673755543,111
111,209.70298344307548,112
112,210.69937774707057,113
113,211.41526458270263,114
114,215.96815137825422,115
115,220.05658698734962,116
116,220.7654983509929,117
117,222.80297320502603,118
118,224.68091627766327,119
119,225.1952598783447,120
120,227.88791221224426,121
121,229.539340976046,122
122,232.45407946728963,123
123,233.96563019044177,124
124,233.9667743098876,125
125,234.75036047618192,126
126,234.78969830312155,127
127,240.0826289609524,128
