,Request Id,request_e2e_time,cdf
22,22,5.354346948989686,0.0078125
23,23,5.354346948989686,0.015625
24,24,5.354346948989686,0.0234375
25,25,5.354346948989686,0.03125
26,26,5.354346948989686,0.0390625
27,27,5.354346948989686,0.046875
28,28,5.354346948989686,0.0546875
29,29,5.354346948989686,0.0625
30,30,5.354346948989686,0.0703125
31,31,5.354346948989686,0.078125
32,32,5.354346948989686,0.0859375
33,33,5.354346948989765,0.09375
21,21,5.354346948989878,0.1015625
20,20,5.354346948989917,0.109375
10,10,5.354346948990024,0.1171875
5,5,5.3543469489900275,0.125
8,8,5.3543469489900275,0.1328125
3,3,5.354346948990062,0.140625
4,4,5.354346948990084,0.1484375
0,0,5.35434694899009,0.15625
1,1,5.3543469489900914,0.1640625
2,2,5.354346948990104,0.171875
11,11,5.354346948990139,0.1796875
13,13,5.354346948990141,0.1875
14,14,5.354346948990141,0.1953125
16,16,5.354346948990141,0.203125
18,18,5.354346948990141,0.2109375
19,19,5.354346948990141,0.21875
34,34,5.354346948990141,0.2265625
35,35,5.354346948990589,0.234375
36,36,5.354346948990596,0.2421875
37,37,5.354346948990596,0.25
38,38,5.354346948990596,0.2578125
40,40,5.354346948990596,0.265625
43,43,5.354346948990596,0.2734375
44,44,5.354346948990596,0.28125
45,45,5.354346948990596,0.2890625
46,46,5.354346948990596,0.296875
50,50,5.354346948990596,0.3046875
51,51,5.354346948990596,0.3125
52,52,5.354346948990596,0.3203125
53,53,5.354346948990596,0.328125
54,54,5.354346948990596,0.3359375
56,56,5.354346948990596,0.34375
58,58,5.354346948990596,0.3515625
59,59,5.354346948990596,0.359375
60,60,5.354346948990596,0.3671875
61,61,5.354346948990596,0.375
62,62,5.354346948990596,0.3828125
63,63,5.354346948990596,0.390625
64,64,5.354346948990596,0.3984375
65,65,5.354346948990596,0.40625
66,66,5.354346948990596,0.4140625
67,67,5.354346948990596,0.421875
68,68,5.354346948990596,0.4296875
69,69,5.354346948990596,0.4375
70,70,5.354346948990596,0.4453125
72,72,5.3543469489919175,0.453125
74,74,5.354346948992401,0.4609375
75,75,5.354346948992401,0.46875
76,76,5.354346948992401,0.4765625
77,77,5.354346948992401,0.484375
78,78,5.354346948992401,0.4921875
80,80,5.354346948992401,0.5
82,82,5.354346948992401,0.5078125
83,83,5.354346948992401,0.515625
84,84,5.354346948992401,0.5234375
85,85,5.354346948992401,0.53125
86,86,5.354346948992401,0.5390625
87,88,5.354346948992401,0.546875
88,90,5.354346948992401,0.5546875
91,91,5.354346948992401,0.5625
92,92,5.354346948992401,0.5703125
93,93,5.354346948992401,0.578125
94,94,5.354346948992401,0.5859375
95,95,5.354346948992401,0.59375
96,96,5.354346948992401,0.6015625
97,97,5.354346948992401,0.609375
98,98,5.354346948992401,0.6171875
99,99,5.354346948992401,0.625
100,100,5.354346948992401,0.6328125
101,101,5.354346948992401,0.640625
102,102,5.354346948992401,0.6484375
104,104,5.354346948992401,0.65625
105,106,5.354346948992401,0.6640625
107,107,5.354346948992401,0.671875
108,108,5.354346948992401,0.6796875
109,109,5.354346948992401,0.6875
110,110,5.354346948992401,0.6953125
112,112,5.354346948992401,0.703125
114,114,5.354346948992401,0.7109375
115,115,5.354346948992401,0.71875
116,116,5.354346948992401,0.7265625
117,117,5.354346948992401,0.734375
118,118,5.354346948992401,0.7421875
120,120,5.354346948992401,0.75
122,122,5.354346948992401,0.7578125
123,123,5.354346948992401,0.765625
124,124,5.354346948992401,0.7734375
125,125,5.354346948992401,0.78125
126,126,5.354346948992401,0.7890625
127,127,5.354346948992401,0.796875
73,73,5.411159143380019,0.8046875
121,121,5.45541618215637,0.8125
48,48,5.468097087970349,0.8203125
71,71,5.499669356175772,0.828125
119,119,5.536960876176948,0.8359375
42,42,5.549347180176412,0.84375
12,12,5.549404753839651,0.8515625
57,57,5.575067743724631,0.859375
49,49,5.57942480427721,0.8671875
106,105,5.603757727742789,0.875
41,41,5.618958267195907,0.8828125
6,6,5.623995628175923,0.890625
17,17,5.639975178162686,0.8984375
81,81,5.641111224478351,0.90625
55,55,5.648279148175902,0.9140625
47,47,5.653135852175893,0.921875
103,103,5.673502742842373,0.9296875
113,113,5.676617303509289,0.9375
39,39,5.684310806842518,0.9453125
15,15,5.705386262842747,0.953125
79,79,5.707064342841335,0.9609375
9,9,5.721150592889359,0.96875
111,111,5.746592833507208,0.9765625
90,89,5.784796644060492,0.984375
7,7,5.799283564175722,0.9921875
89,87,5.876408598839447,1.0
