,Request Id,request_execution_plus_preemption_time,cdf
0,0,5.354346948990147,0.0078125
1,1,5.354346948990147,0.015625
2,2,5.354346948990147,0.0234375
3,3,5.354346948990147,0.03125
4,4,5.354346948990147,0.0390625
5,5,5.354346948990147,0.046875
8,8,5.354346948990147,0.0546875
10,10,5.354346948990147,0.0625
11,11,5.354346948990147,0.0703125
13,13,5.354346948990147,0.078125
14,14,5.354346948990147,0.0859375
16,16,5.354346948990147,0.09375
18,18,5.354346948990147,0.1015625
19,19,5.354346948990147,0.109375
20,20,5.354346948990147,0.1171875
21,21,5.354346948990147,0.125
22,22,5.354346948990147,0.1328125
23,23,5.354346948990147,0.140625
24,24,5.354346948990147,0.1484375
25,25,5.354346948990147,0.15625
26,26,5.354346948990147,0.1640625
27,27,5.354346948990147,0.171875
28,28,5.354346948990147,0.1796875
29,29,5.354346948990147,0.1875
30,30,5.354346948990147,0.1953125
31,31,5.354346948990147,0.203125
32,32,5.354346948990147,0.2109375
33,33,5.354346948990147,0.21875
34,34,5.354346948990147,0.2265625
35,35,5.354346948990147,0.234375
36,36,5.354346948990147,0.2421875
37,37,5.354346948990147,0.25
38,38,5.354346948990147,0.2578125
40,40,5.354346948990147,0.265625
43,43,5.354346948990147,0.2734375
44,44,5.354346948990147,0.28125
45,45,5.354346948990147,0.2890625
46,46,5.354346948990147,0.296875
50,50,5.354346948990147,0.3046875
51,51,5.354346948990147,0.3125
52,52,5.354346948990147,0.3203125
53,53,5.354346948990147,0.328125
54,54,5.354346948990147,0.3359375
56,56,5.354346948990147,0.34375
58,58,5.354346948990147,0.3515625
59,59,5.354346948990147,0.359375
60,60,5.354346948990147,0.3671875
61,61,5.354346948990147,0.375
62,62,5.354346948990147,0.3828125
63,63,5.354346948990147,0.390625
64,64,5.354346948990147,0.3984375
65,65,5.354346948990147,0.40625
66,66,5.354346948990147,0.4140625
67,67,5.354346948990147,0.421875
68,68,5.354346948990147,0.4296875
69,69,5.354346948990147,0.4375
70,70,5.354346948990147,0.4453125
72,72,5.354346948990147,0.453125
74,74,5.354346948990147,0.4609375
75,75,5.354346948990147,0.46875
76,76,5.354346948990147,0.4765625
77,77,5.354346948990147,0.484375
78,78,5.354346948990147,0.4921875
80,80,5.354346948990147,0.5
82,82,5.354346948990147,0.5078125
83,83,5.354346948990147,0.515625
84,84,5.354346948990147,0.5234375
85,85,5.354346948990147,0.53125
86,86,5.354346948990147,0.5390625
87,88,5.354346948990147,0.546875
88,90,5.354346948990147,0.5546875
91,91,5.354346948990147,0.5625
92,92,5.354346948990147,0.5703125
93,93,5.354346948990147,0.578125
94,94,5.354346948990147,0.5859375
95,95,5.354346948990147,0.59375
96,96,5.354346948990147,0.6015625
97,97,5.354346948990147,0.609375
98,98,5.354346948990147,0.6171875
99,99,5.354346948990147,0.625
100,100,5.354346948990147,0.6328125
101,101,5.354346948990147,0.640625
102,102,5.354346948990147,0.6484375
104,104,5.354346948990147,0.65625
105,106,5.354346948990147,0.6640625
107,107,5.354346948990147,0.671875
108,108,5.354346948990147,0.6796875
109,109,5.354346948990147,0.6875
110,110,5.354346948990147,0.6953125
112,112,5.354346948990147,0.703125
114,114,5.354346948990147,0.7109375
115,115,5.354346948990147,0.71875
116,116,5.354346948990147,0.7265625
117,117,5.354346948990147,0.734375
118,118,5.354346948990147,0.7421875
120,120,5.354346948990147,0.75
122,122,5.354346948990147,0.7578125
123,123,5.354346948990147,0.765625
124,124,5.354346948990147,0.7734375
125,125,5.354346948990147,0.78125
126,126,5.354346948990147,0.7890625
127,127,5.354346948990147,0.796875
73,73,5.405081247103681,0.8046875
121,121,5.451544095103679,0.8125
48,48,5.465815241770343,0.8203125
71,71,5.4996693561758185,0.828125
119,119,5.536960876175805,0.8359375
12,12,5.54795019643701,0.84375
42,42,5.549347180175801,0.8515625
57,57,5.573511156437016,0.859375
49,49,5.578623348437018,0.8671875
106,105,5.599714121770357,0.875
41,41,5.6099686284370245,0.8828125
6,6,5.62399562817581,0.890625
17,17,5.629979551103691,0.8984375
81,81,5.6315724684370245,0.90625
55,55,5.648279148175817,0.9140625
47,47,5.653135852175819,0.921875
113,113,5.668420468437028,0.9296875
103,103,5.6735027428424925,0.9375
39,39,5.684310806842495,0.9453125
15,15,5.7053862628425,0.953125
79,79,5.7070643428425,0.9609375
9,9,5.715633823103691,0.96875
111,111,5.746592833509168,0.9765625
90,89,5.776750921770329,0.984375
7,7,5.799283564175829,0.9921875
89,87,5.876408598842478,1.0
