,Request Id,request_e2e_time,cdf
24,24,5.354346948989686,0.0078125
25,25,5.354346948989686,0.015625
26,26,5.354346948989686,0.0234375
29,29,5.354346948989686,0.03125
30,30,5.354346948989686,0.0390625
31,31,5.354346948989686,0.046875
32,32,5.354346948989686,0.0546875
33,33,5.354346948989765,0.0625
21,21,5.354346948989878,0.0703125
0,0,5.35434694899009,0.078125
2,2,5.354346948990104,0.0859375
12,13,5.354346948990141,0.09375
17,17,5.354346948990141,0.1015625
18,18,5.354346948990141,0.109375
34,34,5.354346948990141,0.1171875
35,35,5.354346948990589,0.125
36,36,5.354346948990596,0.1328125
37,37,5.354346948990596,0.140625
38,38,5.354346948990596,0.1484375
40,41,5.354346948990596,0.15625
50,50,5.354346948990596,0.1640625
53,53,5.354346948990596,0.171875
57,57,5.354346948990596,0.1796875
58,58,5.354346948990596,0.1875
63,63,5.354346948990596,0.1953125
65,65,5.354346948990596,0.203125
66,67,5.354346948990596,0.2109375
68,68,5.354346948990596,0.21875
69,69,5.354346948990596,0.2265625
70,70,5.354346948990596,0.234375
71,71,5.354346948990596,0.2421875
77,77,5.354346948992401,0.25
83,83,5.354346948992401,0.2578125
84,84,5.354346948992401,0.265625
85,85,5.354346948992401,0.2734375
86,86,5.354346948992401,0.28125
87,89,5.354346948992401,0.2890625
93,93,5.354346948992401,0.296875
94,94,5.354346948992401,0.3046875
95,95,5.354346948992401,0.3125
96,96,5.354346948992401,0.3203125
97,97,5.354346948992401,0.328125
99,99,5.354346948992401,0.3359375
102,102,5.354346948992401,0.34375
109,109,5.354346948992401,0.3515625
110,110,5.354346948992401,0.359375
111,111,5.354346948992401,0.3671875
112,112,5.354346948992401,0.375
113,113,5.354346948992401,0.3828125
114,114,5.354346948992401,0.390625
115,115,5.354346948992401,0.3984375
117,117,5.354346948992401,0.40625
122,122,5.354346948992401,0.4140625
123,123,5.354346948992401,0.421875
125,125,5.354346948992401,0.4296875
126,126,5.354346948992401,0.4375
127,127,5.354346948992401,0.4453125
92,92,5.360470123824058,0.453125
81,81,5.437512070439965,0.4609375
82,82,5.440090929756309,0.46875
16,16,5.4435808495084075,0.4765625
124,124,5.446027028008132,0.484375
6,7,5.465352253983296,0.4921875
59,59,5.470103009366753,0.5
119,119,5.474956500447377,0.5078125
104,104,5.479519979063809,0.515625
75,75,5.500979604941932,0.5234375
28,28,5.512041678562284,0.53125
76,76,5.518482540177189,0.5390625
11,12,5.522243222842453,0.546875
78,78,5.52533979884376,0.5546875
121,121,5.529219436177044,0.5625
67,66,5.536191587595027,0.5703125
55,55,5.546250604176393,0.578125
116,116,5.5501124068434535,0.5859375
20,20,5.555760252978214,0.59375
120,120,5.561219806452499,0.6015625
98,98,5.571709249509894,0.609375
72,72,5.57732384150944,0.6171875
105,106,5.581987758826756,0.625
27,27,5.587525356175647,0.6328125
64,64,5.606504684176073,0.640625
91,91,5.619838476381005,0.6484375
19,19,5.624884033509275,0.65625
118,118,5.630471233509894,0.6640625
56,56,5.635309163648998,0.671875
74,74,5.646247731809012,0.6796875
103,103,5.6547547535094225,0.6875
48,48,5.654930497346214,0.6953125
9,10,5.673874472030175,0.703125
80,80,5.679555020656721,0.7109375
15,15,5.687620868267597,0.71875
88,87,5.687666966841931,0.7265625
4,4,5.707064342842429,0.734375
54,54,5.707803926842587,0.7421875
73,73,5.717872406840996,0.75
3,3,5.720085023159958,0.7578125
45,45,5.7238580108679855,0.765625
47,47,5.727216748175977,0.7734375
7,6,5.742458476175763,0.78125
79,79,5.758447510840369,0.7890625
14,14,5.764474305509438,0.796875
90,90,5.7805769621351715,0.8046875
23,23,5.7809127640598135,0.8125
1,1,5.8002865295090835,0.8203125
5,5,5.828612507394247,0.828125
101,101,5.828646202170063,0.8359375
62,62,5.8292457585261985,0.84375
100,100,5.833759004331796,0.8515625
39,39,5.851423792200961,0.859375
43,44,5.85861002386622,0.8671875
22,22,5.871894849509545,0.875
89,88,5.872682092172823,0.8828125
13,11,5.918303066413296,0.890625
108,108,5.92054466888041,0.8984375
60,60,5.950355504200857,0.90625
46,46,5.959825972260745,0.9140625
52,52,6.002511056158596,0.921875
42,42,6.018865614869682,0.9296875
61,61,6.031076850412603,0.9375
106,105,6.0715680908676575,0.9453125
41,40,6.102403973534237,0.953125
107,107,6.10254930858855,0.9609375
44,43,6.1285601268107825,0.96875
51,51,6.170853872109447,0.9765625
10,9,6.219630981686933,0.984375
8,8,6.2246792588673046,0.9921875
49,49,6.277837120351691,1.0
