,Request Id,request_model_execution_time_normalized,cdf
0,0,0.010457708884746382,0.0078125
2,2,0.010457708884746382,0.015625
12,13,0.010457708884746382,0.0234375
17,17,0.010457708884746382,0.03125
18,18,0.010457708884746382,0.0390625
21,21,0.010457708884746382,0.046875
24,24,0.010457708884746382,0.0546875
25,25,0.010457708884746382,0.0625
26,26,0.010457708884746382,0.0703125
29,29,0.010457708884746382,0.078125
30,30,0.010457708884746382,0.0859375
31,31,0.010457708884746382,0.09375
32,32,0.010457708884746382,0.1015625
33,33,0.010457708884746382,0.109375
34,34,0.010457708884746382,0.1171875
35,35,0.010457708884746382,0.125
36,36,0.010457708884746382,0.1328125
37,37,0.010457708884746382,0.140625
38,38,0.010457708884746382,0.1484375
40,41,0.010457708884746382,0.15625
50,50,0.010457708884746382,0.1640625
53,53,0.010457708884746382,0.171875
57,57,0.010457708884746382,0.1796875
58,58,0.010457708884746382,0.1875
63,63,0.010457708884746382,0.1953125
65,65,0.010457708884746382,0.203125
66,67,0.010457708884746382,0.2109375
68,68,0.010457708884746382,0.21875
69,69,0.010457708884746382,0.2265625
70,70,0.010457708884746382,0.234375
71,71,0.010457708884746382,0.2421875
77,77,0.010457708884746382,0.25
83,83,0.010457708884746382,0.2578125
84,84,0.010457708884746382,0.265625
85,85,0.010457708884746382,0.2734375
86,86,0.010457708884746382,0.28125
87,89,0.010457708884746382,0.2890625
92,92,0.010457708884746382,0.296875
93,93,0.010457708884746382,0.3046875
94,94,0.010457708884746382,0.3125
95,95,0.010457708884746382,0.3203125
96,96,0.010457708884746382,0.328125
97,97,0.010457708884746382,0.3359375
99,99,0.010457708884746382,0.34375
102,102,0.010457708884746382,0.3515625
109,109,0.010457708884746382,0.359375
110,110,0.010457708884746382,0.3671875
111,111,0.010457708884746382,0.375
112,112,0.010457708884746382,0.3828125
113,113,0.010457708884746382,0.390625
114,114,0.010457708884746382,0.3984375
115,115,0.010457708884746382,0.40625
117,117,0.010457708884746382,0.4140625
122,122,0.010457708884746382,0.421875
123,123,0.010457708884746382,0.4296875
125,125,0.010457708884746382,0.4375
126,126,0.010457708884746382,0.4453125
127,127,0.010457708884746382,0.453125
81,81,0.010605506560749378,0.4609375
16,16,0.010614430060749379,0.46875
82,82,0.01062139839408271,0.4765625
124,124,0.010630126227416043,0.484375
6,7,0.010659724227416038,0.4921875
59,59,0.01066845206074937,0.5
119,119,0.010677145060749368,0.5078125
104,104,0.010689357060749366,0.515625
75,75,0.01073716356074936,0.5234375
28,28,0.01075883906074936,0.53125
76,76,0.010778286211280881,0.5390625
11,12,0.010785631294614212,0.546875
78,78,0.01079167929461421,0.5546875
67,66,0.010799140060749364,0.5625
121,121,0.010799256711280875,0.5703125
55,55,0.010832520711280864,0.578125
20,20,0.010837658560749367,0.5859375
116,116,0.010840063294614195,0.59375
120,120,0.010849153227416038,0.6015625
98,98,0.010882244627947521,0.609375
72,72,0.010893210627947519,0.6171875
105,106,0.010899076977416051,0.625
27,27,0.010913135461280853,0.6328125
64,64,0.010950204461280868,0.640625
91,91,0.010963192310749395,0.6484375
19,19,0.010986101627947546,0.65625
118,118,0.01099701412794755,0.6640625
56,56,0.011000526310749397,0.671875
74,74,0.011019193310749397,0.6796875
48,48,0.011036387144082732,0.6875
103,103,0.011044442877947563,0.6953125
9,10,0.011063732144082735,0.703125
80,80,0.011092402060749408,0.7109375
15,15,0.011103230477416078,0.71875
88,87,0.01110872454461425,0.7265625
4,4,0.011146610044614258,0.734375
54,54,0.01114805454461426,0.7421875
3,3,0.01116507614408273,0.75
73,73,0.011167719544614263,0.7578125
45,45,0.011179410177475365,0.765625
47,47,0.01118597021128093,0.7734375
7,6,0.011215739211280927,0.78125
79,79,0.01124696779461426,0.7890625
14,14,0.011258738877947592,0.796875
23,23,0.011276258227416009,0.8046875
90,90,0.011277324310749343,0.8125
1,1,0.011328684627947581,0.8203125
5,5,0.011366399387283881,0.828125
62,62,0.011367094367076063,0.8359375
101,101,0.01136859280395054,0.84375
100,100,0.011389380553950565,0.8515625
39,39,0.011428562094142116,0.859375
43,44,0.011441505867076042,0.8671875
22,22,0.01146854462794755,0.875
89,88,0.011470082211280885,0.8828125
13,11,0.011549291783742695,0.890625
108,108,0.011555303617075987,0.8984375
60,60,0.011621788094142145,0.90625
46,46,0.011639682617075956,0.9140625
52,52,0.011716911783742593,0.921875
42,42,0.011754454110277182,0.9296875
61,61,0.01177796794361048,0.9375
106,105,0.01185853142747546,0.9453125
107,107,0.011904927610277147,0.953125
41,40,0.01191875776080878,0.9609375
44,43,0.011951328776943807,0.96875
10,9,0.01196413594361058,0.9765625
51,51,0.012049588083270455,0.984375
8,8,0.012157576677475463,0.9921875
49,49,0.012254122576471765,1.0
