,Request Id,request_execution_time,cdf
0,0,5.354346948990147,0.0078125
21,21,5.354346948990147,0.015625
25,25,5.354346948990147,0.0234375
32,32,5.354346948990147,0.03125
35,35,5.354346948990147,0.0390625
37,37,5.354346948990147,0.046875
38,38,5.354346948990147,0.0546875
49,50,5.354346948990147,0.0625
57,57,5.354346948990147,0.0703125
58,58,5.354346948990147,0.078125
63,63,5.354346948990147,0.0859375
66,67,5.354346948990147,0.09375
70,70,5.354346948990147,0.1015625
71,71,5.354346948990147,0.109375
83,83,5.354346948990147,0.1171875
84,84,5.354346948990147,0.125
85,85,5.354346948990147,0.1328125
86,86,5.354346948990147,0.140625
95,95,5.354346948990147,0.1484375
96,96,5.354346948990147,0.15625
97,97,5.354346948990147,0.1640625
99,99,5.354346948990147,0.171875
102,102,5.354346948990147,0.1796875
109,109,5.354346948990147,0.1875
110,110,5.354346948990147,0.1953125
112,112,5.354346948990147,0.203125
115,115,5.354346948990147,0.2109375
123,123,5.354346948990147,0.21875
127,127,5.354346948990147,0.2265625
18,18,5.398317385770347,0.234375
36,36,5.421477193770348,0.2421875
53,53,5.438485051942931,0.25
114,114,5.439939871103681,0.2578125
6,7,5.460463561770344,0.265625
28,28,5.508525599103672,0.2734375
11,12,5.5222432228424765,0.28125
120,120,5.554766452437011,0.2890625
20,20,5.565921823103681,0.296875
98,98,5.571709249509131,0.3046875
16,16,5.5748365929560215,0.3125
105,106,5.580327412437018,0.3203125
27,27,5.587525356175797,0.328125
31,31,5.6195261324370245,0.3359375
17,17,5.620757825509142,0.34375
29,29,5.62399562817581,0.3515625
125,125,5.6290836364370245,0.359375
80,81,5.6298884439429315,0.3671875
118,118,5.630471233509145,0.375
48,48,5.650630217770359,0.3828125
59,59,5.651258683942932,0.390625
103,103,5.6547547535091525,0.3984375
68,68,5.702299807103699,0.40625
92,92,5.703439163942939,0.4140625
122,122,5.7044477668425,0.421875
3,3,5.7165189857703576,0.4296875
26,26,5.7260047244370185,0.4375
45,47,5.727216748175836,0.4453125
111,111,5.746592833509168,0.453125
69,69,5.748189243942947,0.4609375
64,64,5.757885402867389,0.46875
2,2,5.76103403220074,0.4765625
126,126,5.769064721276258,0.484375
23,23,5.7734442124369965,0.4921875
88,90,5.773990047103664,0.5
65,65,5.783829100175831,0.5078125
94,94,5.7864139831036585,0.515625
12,13,5.799008187942943,0.5234375
1,1,5.800286529509162,0.53125
121,121,5.805129567647592,0.5390625
24,24,5.811303702842492,0.546875
33,33,5.8164551908424915,0.5546875
62,62,5.8199523159429445,0.5625
101,101,5.8207195156226765,0.5703125
19,19,5.831268166289345,0.578125
100,100,5.831362843622689,0.5859375
113,113,5.840961606289356,0.59375
5,5,5.851423373795264,0.6015625
22,22,5.871894849509146,0.609375
87,88,5.872682092175813,0.6171875
30,30,5.88798253428936,0.625
34,34,5.888063814289349,0.6328125
93,93,5.889451372175808,0.640625
15,15,5.903465556247699,0.6484375
116,116,5.919905456200774,0.65625
4,4,5.92443879779528,0.6640625
124,124,5.931283384461942,0.671875
60,60,5.950355504200778,0.6796875
67,66,5.952195171128613,0.6875
82,82,5.953866299942921,0.6953125
119,119,5.958413667128595,0.703125
7,6,5.965560368200783,0.7109375
76,76,5.969206576200798,0.71875
77,77,5.9730448351286345,0.7265625
117,117,5.9976730591285765,0.734375
8,10,6.027258083128572,0.7421875
61,61,6.030319587128566,0.75
54,54,6.04804894420075,0.7578125
108,108,6.095418427942893,0.765625
39,39,6.111704521559022,0.7734375
75,75,6.161334331942898,0.78125
91,91,6.187179263967837,0.7890625
56,56,6.222020479967856,0.796875
90,89,6.275021479153554,0.8046875
52,52,6.2923859869392365,0.8125
14,14,6.321200664272574,0.8203125
81,80,6.332204074634541,0.828125
55,55,6.333696167153533,0.8359375
107,107,6.3363424426345105,0.84375
89,87,6.348614601559044,0.8515625
104,104,6.366164558339211,0.859375
74,74,6.377915818634503,0.8671875
79,79,6.422375975153518,0.875
46,46,6.429553809276249,0.8828125
106,105,6.432534439153563,0.890625
78,78,6.4498765535590055,0.8984375
72,72,6.457565129559014,0.90625
73,73,6.461508177820203,0.9140625
51,51,6.490037705935617,0.921875
10,9,6.5483094221498765,0.9296875
13,11,6.552555313630895,0.9375
43,43,6.630534527967837,0.9453125
9,8,6.638111696555362,0.953125
50,49,6.661593844602328,0.9609375
41,41,6.723092519153539,0.96875
40,40,6.818654708225677,0.9765625
42,42,6.8352176501748385,0.984375
47,45,6.913195747293874,0.9921875
44,44,6.982115879318826,1.0
