,Request Id,request_execution_plus_preemption_time,cdf
0,0,5.354346948990147,0.0078125
24,25,5.354346948990147,0.015625
35,35,5.354346948990147,0.0234375
63,63,5.354346948990147,0.03125
71,71,5.354346948990147,0.0390625
85,85,5.354346948990147,0.046875
86,86,5.354346948990147,0.0546875
110,110,5.354346948990147,0.0625
123,123,5.354346948990147,0.0703125
127,127,5.354346948990147,0.078125
102,102,5.4118272737703474,0.0859375
99,99,5.504725526842483,0.09375
114,114,5.520331110609594,0.1015625
120,120,5.554766452437011,0.109375
53,53,5.557066257276259,0.1171875
98,98,5.571709249509131,0.125
109,109,5.57812597962268,0.1328125
118,118,5.630471233509145,0.140625
80,81,5.641238929276265,0.1484375
59,59,5.651258683942932,0.15625
37,37,5.663753588437027,0.1640625
97,97,5.690199241770366,0.171875
84,84,5.7260047244370185,0.1796875
96,96,5.770302188175833,0.1875
58,58,5.772063775103664,0.1953125
95,95,5.775034214609616,0.203125
20,20,5.781269691942931,0.2109375
94,94,5.7864139831036585,0.21875
36,36,5.808642502289373,0.2265625
83,83,5.811303702842492,0.234375
32,32,5.815665681276286,0.2421875
33,33,5.8164551908424915,0.25
62,62,5.8199523159429445,0.2578125
100,100,5.831362843622689,0.265625
57,57,5.870031596175814,0.2734375
34,34,5.888063814289349,0.28125
93,93,5.889451372175808,0.2890625
64,64,5.902766068225667,0.296875
60,60,5.950355504200778,0.3046875
82,82,5.953866299942921,0.3125
15,15,5.984429310914353,0.3203125
77,77,5.997563946634558,0.328125
68,68,6.0192638466095625,0.3359375
61,61,6.030319587128566,0.34375
31,31,6.033461034634488,0.3515625
70,70,6.044747622609533,0.359375
54,54,6.04804894420075,0.3671875
101,101,6.0597691409809595,0.375
38,38,6.063798260225707,0.3828125
119,119,6.1257810057952575,0.390625
76,76,6.1380935506595025,0.3984375
66,67,6.168899597795255,0.40625
23,23,6.175131619128564,0.4140625
22,22,6.182477325795238,0.421875
113,113,6.202567637301171,0.4296875
69,69,6.2035400106344705,0.4375
111,111,6.203879690314296,0.4453125
21,21,6.209174277534101,0.453125
30,30,6.209427438659483,0.4609375
56,56,6.222020479967856,0.46875
65,65,6.222027354867433,0.4765625
29,29,6.222744259992801,0.484375
117,117,6.2637955839678625,0.4921875
121,121,6.302521538703742,0.5
67,66,6.306325372486879,0.5078125
112,112,6.315074001820192,0.515625
81,80,6.332204074634541,0.5234375
55,55,6.333696167153533,0.53125
6,6,6.338560414892361,0.5390625
17,17,6.340252308791635,0.546875
19,19,6.345049432272638,0.5546875
116,116,6.351583783153533,0.5625
115,115,6.356391369559027,0.5703125
48,48,6.383915486455129,0.578125
92,92,6.387019213146687,0.5859375
5,5,6.403648852282068,0.59375
79,79,6.422375975153518,0.6015625
14,14,6.431179909910679,0.609375
28,28,6.436762819992824,0.6171875
78,78,6.4498765535590055,0.625
25,24,6.453185145005883,0.6328125
72,72,6.457565129559014,0.640625
73,73,6.461508177820203,0.6484375
18,18,6.463292778124982,0.65625
4,4,6.468447469605921,0.6640625
75,75,6.486531523992764,0.671875
39,39,6.504964715178464,0.6796875
16,16,6.50899959814991,0.6875
74,74,6.51768646799279,0.6953125
126,126,6.539697438455128,0.703125
27,27,6.55404614799277,0.7109375
125,125,6.663344602974144,0.71875
26,26,6.664070123178453,0.7265625
10,10,6.6706565765118375,0.734375
13,13,6.677051715992794,0.7421875
108,108,6.692857605640792,0.75
3,3,6.694944561630886,0.7578125
1,1,6.7265815418886685,0.765625
2,2,6.781278808816554,0.7734375
11,12,6.791642418684416,0.78125
124,124,6.80847013233242,0.7890625
122,122,6.820717083518056,0.796875
52,52,6.8391414531467545,0.8046875
12,11,6.89326586593564,0.8125
107,107,6.894344037451477,0.8203125
47,47,6.920285413451491,0.828125
7,7,6.938671640306958,0.8359375
91,91,7.002064510809738,0.84375
9,9,7.0270032382653245,0.8515625
51,51,7.051179998350548,0.859375
104,104,7.099082161526245,0.8671875
46,46,7.103953620143075,0.875
41,41,7.106533524687002,0.8828125
42,42,7.108029514884555,0.890625
103,103,7.108643032711938,0.8984375
45,45,7.134816126705111,0.90625
8,8,7.137499682784339,0.9140625
106,106,7.142632148143074,0.921875
90,90,7.158867966809686,0.9296875
40,40,7.1938834470924835,0.9375
43,43,7.202309016167966,0.9453125
50,50,7.209844453346898,0.953125
44,44,7.228567832063389,0.9609375
49,49,7.234770192013522,0.96875
105,105,7.257178349501326,0.9765625
89,89,7.2782877895012845,0.984375
88,88,7.38436703935364,0.9921875
87,87,7.4573469564257975,1.0
