,Request Id,request_e2e_time,cdf
22,22,5.354346948989686,0.0078125
23,23,5.354346948989686,0.015625
25,25,5.354346948989686,0.0234375
26,26,5.354346948989686,0.03125
27,27,5.354346948989686,0.0390625
29,29,5.354346948989686,0.046875
30,30,5.354346948989686,0.0546875
31,31,5.354346948989686,0.0625
32,32,5.354346948989686,0.0703125
33,33,5.354346948989765,0.078125
21,21,5.354346948989878,0.0859375
20,20,5.354346948989917,0.09375
5,5,5.3543469489900275,0.1015625
3,3,5.354346948990062,0.109375
0,1,5.3543469489900914,0.1171875
2,2,5.354346948990104,0.125
17,17,5.354346948990141,0.1328125
18,18,5.354346948990141,0.140625
19,19,5.354346948990141,0.1484375
34,34,5.354346948990141,0.15625
35,35,5.354346948990589,0.1640625
36,36,5.354346948990596,0.171875
37,37,5.354346948990596,0.1796875
53,53,5.354346948990596,0.1875
56,56,5.354346948990596,0.1953125
57,57,5.354346948990596,0.203125
60,60,5.354346948990596,0.2109375
61,61,5.354346948990596,0.21875
62,62,5.354346948990596,0.2265625
63,63,5.354346948990596,0.234375
66,67,5.354346948990596,0.2421875
71,71,5.354346948990596,0.25
72,72,5.3543469489919175,0.2578125
73,73,5.354346948992401,0.265625
74,74,5.354346948992401,0.2734375
75,75,5.354346948992401,0.28125
79,79,5.354346948992401,0.2890625
83,83,5.354346948992401,0.296875
84,84,5.354346948992401,0.3046875
85,85,5.354346948992401,0.3125
87,88,5.354346948992401,0.3203125
88,89,5.354346948992401,0.328125
92,92,5.354346948992401,0.3359375
93,93,5.354346948992401,0.34375
94,94,5.354346948992401,0.3515625
96,96,5.354346948992401,0.359375
97,97,5.354346948992401,0.3671875
98,98,5.354346948992401,0.375
99,99,5.354346948992401,0.3828125
100,100,5.354346948992401,0.390625
101,101,5.354346948992401,0.3984375
105,105,5.354346948992401,0.40625
109,109,5.354346948992401,0.4140625
110,110,5.354346948992401,0.421875
111,111,5.354346948992401,0.4296875
112,112,5.354346948992401,0.4375
113,113,5.354346948992401,0.4453125
114,114,5.354346948992401,0.453125
116,116,5.354346948992401,0.4609375
117,117,5.354346948992401,0.46875
118,118,5.354346948992401,0.4765625
120,120,5.354346948992401,0.484375
123,123,5.354346948992401,0.4921875
124,124,5.354346948992401,0.5
127,127,5.354346948992401,0.5078125
125,125,5.371176158344298,0.515625
58,58,5.385709452980862,0.5234375
95,95,5.3944975904726675,0.53125
28,28,5.4051345363061785,0.5390625
119,119,5.410371034639269,0.546875
82,82,5.440090929756309,0.5546875
108,108,5.441856286809212,0.5625
106,106,5.453857287788566,0.5703125
68,68,5.461168421253987,0.578125
16,16,5.467617676099415,0.5859375
59,59,5.470103009366753,0.59375
121,121,5.472605313511423,0.6015625
50,50,5.475258980029068,0.609375
54,54,5.479409004176247,0.6171875
80,80,5.486338058065513,0.625
107,107,5.488146642374915,0.6328125
15,15,5.496081491513536,0.640625
24,24,5.496775020175463,0.6484375
115,115,5.498222188177607,0.65625
51,51,5.499574349291279,0.6640625
4,4,5.500419553105784,0.671875
38,38,5.5112467001762155,0.6796875
104,104,5.520694934843817,0.6875
14,14,5.523294695542212,0.6953125
78,78,5.52533979884376,0.703125
102,102,5.535412588176968,0.7109375
49,49,5.540065349707973,0.71875
81,81,5.5436151988290305,0.7265625
64,64,5.543919254843047,0.734375
55,55,5.546250604176393,0.7421875
76,76,5.564830060176604,0.75
103,103,5.565595286843262,0.7578125
1,0,5.579617302842411,0.765625
52,52,5.605190774002693,0.7734375
77,77,5.612119276176799,0.78125
13,13,5.622019447942019,0.7890625
126,126,5.628704440767905,0.796875
7,7,5.642691948175928,0.8046875
70,70,5.660310723264715,0.8125
69,69,5.660719097215065,0.8203125
90,90,5.664543515354978,0.828125
89,87,5.687666966841931,0.8359375
9,9,5.6960573668426235,0.84375
122,122,5.701091606841516,0.8515625
39,39,5.722278448201294,0.859375
8,8,5.72721674817598,0.8671875
65,65,5.731351105509319,0.875
86,86,5.7330446308407375,0.8828125
67,66,5.735684374842663,0.890625
6,6,5.742458476175763,0.8984375
91,91,5.756477875566361,0.90625
11,11,5.788532603654458,0.9140625
42,42,5.840634681854155,0.921875
12,12,5.849967232839573,0.9296875
41,41,5.8556362646949935,0.9375
46,46,5.897607912631329,0.9453125
10,10,5.912667471215922,0.953125
45,45,5.919871496988378,0.9609375
40,40,5.937251077533901,0.96875
48,48,5.9394683148100285,0.9765625
47,47,5.943255149135169,0.984375
44,44,5.966688198375877,0.9921875
43,43,6.049001257303502,1.0
