,Request Id,request_e2e_time,cdf
22,22,5.690974555392472,0.0078125
23,23,5.690974555392472,0.015625
24,24,5.690974555392472,0.0234375
25,25,5.690974555392472,0.03125
26,26,5.690974555392472,0.0390625
27,27,5.690974555392472,0.046875
28,28,5.690974555392472,0.0546875
29,29,5.690974555392472,0.0625
30,30,5.690974555392472,0.0703125
31,31,5.690974555392472,0.078125
32,32,5.690974555392472,0.0859375
34,34,5.690974555392472,0.09375
33,33,5.690974555392479,0.1015625
35,35,5.690974555392636,0.109375
21,21,5.690974555392643,0.1171875
20,20,5.690974555392874,0.125
11,11,5.690974555392922,0.1328125
13,13,5.690974555392923,0.140625
14,14,5.690974555392923,0.1484375
16,16,5.690974555392923,0.15625
18,18,5.690974555392923,0.1640625
19,19,5.690974555392923,0.171875
10,10,5.6909745553930335,0.1796875
4,4,5.690974555393092,0.1875
3,3,5.690974555393116,0.1953125
0,0,5.690974555393121,0.203125
1,1,5.690974555393121,0.2109375
2,2,5.690974555393121,0.21875
8,8,5.690974555393126,0.2265625
5,5,5.690974555393147,0.234375
74,74,5.690974555394263,0.2421875
75,75,5.690974555394263,0.25
76,76,5.690974555394263,0.2578125
77,77,5.690974555394263,0.265625
78,78,5.690974555394263,0.2734375
80,80,5.690974555394263,0.28125
82,82,5.690974555394263,0.2890625
83,83,5.690974555394263,0.296875
84,84,5.690974555394263,0.3046875
85,85,5.690974555394263,0.3125
86,86,5.690974555394263,0.3203125
88,88,5.690974555394263,0.328125
90,90,5.690974555394263,0.3359375
91,91,5.690974555394263,0.34375
92,92,5.690974555394263,0.3515625
93,93,5.690974555394263,0.359375
94,94,5.690974555394263,0.3671875
95,95,5.690974555394263,0.375
96,96,5.690974555394263,0.3828125
97,97,5.690974555394263,0.390625
98,98,5.690974555394263,0.3984375
99,99,5.690974555394263,0.40625
100,100,5.690974555394263,0.4140625
101,101,5.690974555394263,0.421875
102,102,5.690974555394263,0.4296875
104,104,5.690974555394263,0.4375
106,106,5.690974555394263,0.4453125
107,107,5.690974555394263,0.453125
108,108,5.690974555394263,0.4609375
109,109,5.690974555394263,0.46875
110,110,5.690974555394263,0.4765625
112,112,5.690974555394263,0.484375
114,114,5.690974555394263,0.4921875
115,115,5.690974555394263,0.5
116,116,5.690974555394263,0.5078125
117,117,5.690974555394263,0.515625
118,118,5.690974555394263,0.5234375
120,120,5.690974555394263,0.53125
122,122,5.690974555394263,0.5390625
123,123,5.690974555394263,0.546875
124,124,5.690974555394263,0.5546875
125,125,5.690974555394263,0.5625
126,126,5.690974555394263,0.5703125
127,127,5.690974555394263,0.578125
72,72,5.690974555394291,0.5859375
36,36,5.690974555394305,0.59375
37,37,5.690974555394305,0.6015625
40,40,5.690974555394305,0.609375
43,43,5.690974555394305,0.6171875
45,45,5.690974555394305,0.625
50,50,5.690974555394305,0.6328125
51,51,5.690974555394305,0.640625
53,53,5.690974555394305,0.6484375
54,54,5.690974555394305,0.65625
56,56,5.690974555394305,0.6640625
58,58,5.690974555394305,0.671875
59,59,5.690974555394305,0.6796875
60,60,5.690974555394305,0.6875
61,61,5.690974555394305,0.6953125
62,62,5.690974555394305,0.703125
63,63,5.690974555394305,0.7109375
64,64,5.690974555394305,0.71875
65,65,5.690974555394305,0.7265625
66,66,5.690974555394305,0.734375
67,67,5.690974555394305,0.7421875
68,68,5.690974555394305,0.75
69,69,5.690974555394305,0.7578125
70,70,5.690974555394305,0.765625
44,44,5.710907281257363,0.7734375
52,52,5.716645866416059,0.78125
121,121,5.718184629013422,0.7890625
48,48,5.719818718782406,0.796875
73,73,5.721196297997039,0.8046875
57,57,5.729190059792202,0.8125
41,41,5.733422147304353,0.8203125
12,12,5.734574209039783,0.828125
49,49,5.735925533471047,0.8359375
105,105,5.7360683611927925,0.84375
81,81,5.739669690281204,0.8515625
17,17,5.7412948591837605,0.859375
113,113,5.7430535565121374,0.8671875
9,9,5.7470701430516975,0.875
89,89,5.749093717386614,0.8828125
38,38,5.822505947602295,0.890625
46,46,5.822656801027918,0.8984375
71,71,5.82725853450971,0.90625
119,119,5.830879016722605,0.9140625
42,42,5.8320097134164826,0.921875
6,6,5.838696105255298,0.9296875
55,55,5.840908260727218,0.9375
47,47,5.841289336691233,0.9453125
103,103,5.843094534598663,0.953125
39,39,5.844071779465082,0.9609375
15,15,5.845796072259237,0.96875
79,79,5.8459461576853755,0.9765625
111,111,5.849508517048349,0.984375
7,7,5.854957723991783,0.9921875
87,87,5.863257495728703,1.0
