,Time (sec),request_completion
0,7.781752808028201,1
1,7.874818296025822,2
2,8.425000936178131,3
3,9.066532009346137,4
4,11.637052217744595,5
5,13.8863042272363,6
6,18.49906986744865,7
7,18.656168847646263,8
8,19.704873939913877,9
9,19.745006139814354,10
10,20.341478241963113,11
11,21.720305077987188,12
12,21.79760985844844,13
13,22.109515215323622,14
14,24.17934334940835,15
15,25.875678973391295,16
16,26.250731274809585,17
17,28.04884801085299,18
18,31.314003895508346,19
19,31.357702315252247,20
20,34.60497555679793,21
21,37.01948718800951,22
22,37.83234561174166,23
23,38.1703181479162,24
24,44.306300420180065,25
25,44.99105600767837,26
26,45.18572131035828,27
27,45.52076620327034,28
28,49.18000554398871,29
29,51.02013267989861,30
30,54.293024976338366,31
31,56.9097058372309,32
32,58.44643068529124,33
33,64.44643068529125,34
34,65.39778005098921,35
35,67.1364729081497,36
36,70.54080751113501,37
37,72.49560494363045,38
38,76.56237446788282,39
39,78.44778271627878,40
40,80.90813133349631,41
41,81.02301600973955,42
42,81.39143221454427,43
43,82.04884483688424,44
44,82.26898728057094,45
45,82.76758634117321,46
46,82.97984527404331,47
47,83.6576938925559,48
48,85.68494253020206,49
49,86.41466292962214,50
50,87.3251282193674,51
51,87.79231317083637,52
52,88.43110045616451,53
53,93.90254735479047,54
54,96.12531950878424,55
55,98.01969598552768,56
56,98.245167050913,57
57,100.89559146873566,58
58,101.23634445607775,59
59,102.16851609934234,60
60,108.16851609934234,61
61,110.21181726026282,62
62,111.83996140059774,63
63,114.14787897926851,64
64,117.9895203235961,65
65,120.8412301130522,66
66,121.51895720406155,67
67,121.5885351501422,68
68,122.21618095077844,69
69,122.86427948918899,70
70,123.33532365829791,71
71,129.14444090837756,72
72,133.18904262228594,73
73,133.9749969733724,74
74,136.07574155995562,75
75,137.0828852226508,76
76,142.14492936492283,77
77,143.23060094430627,78
78,143.9848168095037,79
79,144.5674070467538,80
80,146.0908390234065,81
81,146.7189538620094,82
82,148.45950592007333,83
83,153.1499008030106,84
84,154.0089670129224,85
85,154.55538569450465,86
86,160.66145325678542,87
87,162.1011990011135,88
88,162.2522753467828,89
89,162.27418128437432,90
90,162.49944505643117,91
91,164.5642712625278,92
92,167.58983285285595,93
93,168.69385665777597,94
94,168.792472996753,95
95,169.7537749366498,96
96,175.7537749366498,97
97,177.26005490735074,98
98,183.26005490735074,99
99,187.22654523163695,100
100,187.35624740943285,101
101,189.821316446698,102
102,192.20697974387414,103
103,193.7592744066928,104
104,194.3662925941381,105
105,196.32164344389196,106
106,196.54147884209442,107
107,197.65413664345718,108
108,198.89490094022668,109
109,204.86339744118587,110
110,209.0359743439573,111
111,209.80589912661662,112
112,211.03600535347243,113
113,211.48170083570548,114
114,216.30477898465608,115
115,220.54481096356622,116
116,221.10212595739478,117
117,223.1828577784918,118
118,225.01754388406513,119
119,225.48917801889036,120
120,228.22453981864612,121
121,229.80210942290304,122
122,232.94515506659295,123
123,234.30340191628946,124
124,234.46989321398868,125
125,235.1401995616243,126
126,235.172379659575,127
127,240.41925656735427,128
