,Request Id,prefill_e2e_time,cdf
86,86,0.1700335493566172,0.0078125
96,96,0.1700335493566172,0.015625
98,98,0.1700335493566172,0.0234375
109,109,0.1700335493566172,0.03125
123,124,0.1700335493566172,0.0390625
0,0,0.17003354935663006,0.046875
24,24,0.1700335493566314,0.0546875
33,33,0.1700335493566314,0.0625
60,60,0.1700335493566456,0.0703125
37,37,0.18620348241496743,0.078125
84,84,0.18630984092158087,0.0859375
97,97,0.1865644509402955,0.09375
35,35,0.18660160505101686,0.1015625
6,6,0.18666380146421346,0.109375
38,38,0.18704026116301975,0.1171875
74,74,0.18705552502962064,0.125
117,117,0.18756868544906524,0.1328125
122,122,0.18765803597455033,0.140625
20,20,0.1880037925233502,0.1484375
78,78,0.18833578446464116,0.15625
23,23,0.18860976934333706,0.1640625
113,113,0.18888025588583446,0.171875
116,116,0.1889732185015589,0.1796875
73,73,0.18901444045289395,0.1875
115,115,0.18920329513170486,0.1953125
57,57,0.18950536751817992,0.203125
111,111,0.18961037116346802,0.2109375
4,4,0.18965105626104428,0.21875
105,105,0.18971685956032047,0.2265625
61,61,0.18976601591049302,0.234375
124,123,0.189835712241063,0.2421875
30,30,0.18994569173128184,0.25
101,101,0.19000739582290294,0.2578125
54,54,0.19004897159368284,0.265625
53,53,0.19013324035914536,0.2734375
27,27,0.19029808171504925,0.28125
110,110,0.1903046591049815,0.2890625
79,79,0.19036414803733237,0.296875
127,127,0.1905402238356544,0.3046875
32,32,0.19066734180109535,0.3125
76,76,0.19074483693648858,0.3203125
5,5,0.19076765844715027,0.328125
7,7,0.1908438016679348,0.3359375
92,92,0.1909116175318104,0.34375
28,28,0.19129243835311627,0.3515625
31,31,0.19132163838624194,0.359375
3,3,0.19139647726509912,0.3671875
34,34,0.1914982456491856,0.375
114,114,0.1917791487893794,0.3828125
81,81,0.19204653431094698,0.390625
118,118,0.19218296418571867,0.3984375
103,103,0.19224134566493944,0.40625
58,58,0.19236451240294627,0.4140625
83,83,0.19245252482963338,0.421875
65,65,0.19248846617935556,0.4296875
72,72,0.1925131338569912,0.4375
87,87,0.19256966935884634,0.4453125
120,120,0.19264714931182425,0.453125
25,25,0.19270358633954032,0.4609375
36,36,0.1930249194846141,0.46875
85,85,0.19317494534286084,0.4765625
77,77,0.19319680796161265,0.484375
112,112,0.1932555702231582,0.4921875
22,22,0.1933398226118186,0.5
21,21,0.19342346397157684,0.5078125
10,10,0.19346389015928622,0.515625
59,59,0.19446835236163906,0.5234375
80,80,0.19472344432659838,0.53125
26,26,0.1949954100930711,0.5390625
48,48,0.19504367536522693,0.546875
16,16,0.19513604187991973,0.5546875
14,14,0.1951893625994181,0.5625
64,64,0.1955810961553084,0.5703125
62,62,0.1956159329999423,0.578125
71,71,0.19567038453067198,0.5859375
55,55,0.1956930868072959,0.59375
68,68,0.19580510462824918,0.6015625
2,2,0.19591111408334383,0.609375
95,95,0.1961297167726741,0.6171875
104,104,0.1962785787284247,0.625
39,39,0.19662450183899693,0.6328125
82,82,0.19687465820373973,0.640625
29,29,0.1970184736242615,0.6484375
119,119,0.19736257502091803,0.65625
107,107,0.19752245132005442,0.6640625
75,75,0.19757796207932188,0.671875
45,45,0.19784526968240357,0.6796875
121,121,0.19786204120978823,0.6875
63,63,0.1979595335288593,0.6953125
13,13,0.19799087159525897,0.703125
106,106,0.1984733630233677,0.7109375
56,56,0.19850166289263882,0.71875
102,102,0.1989513312615543,0.7265625
42,42,0.19924759495988553,0.734375
108,108,0.19989893223527133,0.7421875
49,49,0.19997814901759625,0.75
91,91,0.20012973829332736,0.7578125
50,50,0.20017197926345887,0.765625
69,69,0.20060569337952927,0.7734375
70,70,0.20117833016880127,0.78125
51,51,0.20212585625756674,0.7890625
46,46,0.20289298238107278,0.796875
17,17,0.20304690642869616,0.8046875
15,15,0.20312652736408765,0.8125
52,52,0.20324980389882796,0.8203125
47,47,0.20554417164042604,0.828125
44,44,0.20781272791461447,0.8359375
90,90,0.22122486785008277,0.84375
88,88,0.22264699726352433,0.8515625
18,18,0.22329739210480426,0.859375
125,125,0.22340225489935506,0.8671875
43,43,0.22516532771000186,0.875
8,8,0.2255015094969295,0.8828125
40,40,0.2261458808675343,0.890625
99,99,0.2272120691160069,0.8984375
66,66,0.23043931856818745,0.90625
11,11,0.23211949869408066,0.9140625
93,93,0.23745921753356924,0.921875
94,94,0.25718067779104103,0.9296875
41,41,0.27847403636330625,0.9375
1,1,0.30476745628524826,0.9453125
89,89,0.306371999408384,0.953125
67,67,0.31127385133743246,0.9609375
9,9,0.31198555880515855,0.96875
12,12,0.3272891364560504,0.9765625
126,126,0.33104883168266497,0.984375
100,100,0.3486500608791232,0.9921875
19,19,0.3577149467192129,1.0
