,Request Id,request_execution_plus_preemption_time,cdf
123,124,5.690974555393115,0.0078125
97,97,5.73886556974388,0.015625
127,127,5.7404968488658685,0.0234375
32,32,5.793116468363176,0.03125
96,96,5.851642667581526,0.0390625
85,85,5.88458161445317,0.046875
31,31,5.934191463076868,0.0546875
23,23,5.935635582467644,0.0625
63,63,5.944246280098061,0.0703125
59,59,5.97399100082186,0.078125
95,95,5.9841893638506125,0.0859375
108,108,5.989865611269026,0.09375
109,109,5.9947338598110225,0.1015625
75,75,6.005574715013164,0.109375
62,62,6.009587080324704,0.1171875
71,71,6.013868476797429,0.125
98,98,6.020696746074031,0.1328125
84,84,6.028125705528084,0.140625
37,37,6.032931362667834,0.1484375
29,29,6.034205520341395,0.15625
114,114,6.046758957435537,0.1640625
36,36,6.051808514985553,0.171875
22,22,6.072709789283446,0.1796875
4,4,6.086509708305576,0.1875
33,33,6.090428567692567,0.1953125
113,113,6.091611095826042,0.203125
30,30,6.092029473245565,0.2109375
126,126,6.133685625102265,0.21875
34,34,6.139056968349386,0.2265625
61,61,6.140527454655777,0.234375
35,35,6.1554158770530405,0.2421875
83,83,6.1589733822591395,0.25
58,58,6.161290281281832,0.2578125
74,74,6.161464345424109,0.265625
94,94,6.170546420378189,0.2734375
28,28,6.173241544416642,0.28125
60,60,6.1773224134546165,0.2890625
73,73,6.186688279016749,0.296875
100,100,6.19705800669454,0.3046875
107,107,6.217666153868177,0.3125
53,53,6.223276392857117,0.3203125
112,112,6.228908400600283,0.328125
19,19,6.2300377894803,0.3359375
21,21,6.230929351713577,0.34375
111,111,6.2349382080718385,0.3515625
81,81,6.248604985346593,0.359375
125,125,6.2650672311925,0.3671875
119,119,6.2914194931615315,0.375
72,72,6.297681957553363,0.3828125
57,57,6.3021063800530746,0.390625
27,27,6.303009704859583,0.3984375
93,93,6.304669965668416,0.40625
70,70,6.317692374493534,0.4140625
3,3,6.322426848418628,0.421875
17,17,6.325068376546677,0.4296875
99,99,6.325341440953579,0.4375
120,120,6.331207731671363,0.4453125
116,116,6.349051214405325,0.453125
110,110,6.350480433059799,0.4609375
20,20,6.359684283658417,0.46875
18,18,6.360043540539337,0.4765625
101,101,6.362122315331762,0.484375
52,52,6.375903810320533,0.4921875
82,82,6.389880921878963,0.5
122,122,6.393203931317518,0.5078125
117,117,6.396581645158504,0.515625
124,123,6.396891938018731,0.5234375
80,80,6.407671617971111,0.53125
106,106,6.40869234317255,0.5390625
118,118,6.424994904157036,0.546875
26,26,6.4328750560044465,0.5546875
115,115,6.450699876748661,0.5625
2,2,6.450718125963493,0.5703125
56,56,6.45484754928444,0.578125
121,121,6.4704902631156616,0.5859375
69,69,6.475224235544945,0.59375
92,92,6.490985264994631,0.6015625
24,24,6.496383431003957,0.609375
68,68,6.4990777774549295,0.6171875
5,5,6.527073643139493,0.625
105,105,6.540777751688893,0.6328125
79,79,6.552800493714464,0.640625
25,25,6.560410590729383,0.6484375
1,1,6.560911845389931,0.65625
55,55,6.579435313611619,0.6640625
54,54,6.593278564363102,0.671875
51,51,6.594289638186653,0.6796875
16,16,6.597950000753468,0.6875
67,67,6.64036892452744,0.6953125
104,104,6.660489370720856,0.703125
0,0,6.672861264459235,0.7109375
78,78,6.674208538773404,0.71875
86,86,6.712164906173109,0.7265625
102,102,6.713341411871524,0.734375
64,64,6.728011561930695,0.7421875
91,91,6.732833677634515,0.75
50,50,6.7384488746446864,0.7578125
90,90,6.741943851488709,0.765625
14,14,6.751627187571252,0.7734375
15,15,6.756121926914824,0.78125
66,66,6.768092725013566,0.7890625
103,103,6.771939785410711,0.796875
77,77,6.772833356906348,0.8046875
76,76,6.800073120630413,0.8125
65,65,6.870341993073455,0.8203125
89,89,6.875534704615474,0.828125
49,49,6.880035621726064,0.8359375
38,38,6.966071876883306,0.84375
88,88,7.00153367674236,0.8515625
13,13,7.0186776501567225,0.859375
48,48,7.08166802663088,0.8671875
87,87,7.125875969907857,0.875
12,12,7.162044470653677,0.8828125
39,39,7.205189356889627,0.890625
10,10,7.231727003268786,0.8984375
7,7,7.2336167246878365,0.90625
11,11,7.290529829980569,0.9140625
47,47,7.3456597920050335,0.921875
9,9,7.354712823886259,0.9296875
6,6,7.357395131263771,0.9375
8,8,7.480304777692368,0.9453125
46,46,7.498623176288722,0.953125
45,45,7.630594946445316,0.9609375
44,44,7.759681107285277,0.96875
43,43,7.885302563903811,0.9765625
42,42,7.947191316523271,0.984375
41,41,8.036225683503119,0.9921875
40,40,8.156764499390707,1.0
