,Request Id,prefill_time_execution_plus_preemption,cdf
86,86,0.1700335493566172,0.0078125
96,96,0.1700335493566172,0.015625
98,98,0.1700335493566172,0.0234375
109,109,0.1700335493566172,0.03125
123,124,0.1700335493566172,0.0390625
0,0,0.17003354935663006,0.046875
24,24,0.1700335493566314,0.0546875
33,33,0.1700335493566314,0.0625
60,60,0.1700335493566456,0.0703125
34,34,0.18537449701409514,0.078125
77,77,0.18537449701412356,0.0859375
87,87,0.18537449701412356,0.09375
25,25,0.18538474981409792,0.1015625
1,1,0.18539158501409592,0.109375
97,97,0.18539510501412337,0.1171875
54,54,0.18547753701407999,0.125
61,61,0.18547753701407999,0.1328125
65,65,0.1855108170140909,0.140625
6,6,0.18551222501409548,0.1484375
64,64,0.1855139402140935,0.15625
83,83,0.18551606501409879,0.1640625
72,72,0.18551862501406902,0.171875
110,110,0.18551862501411165,0.1796875
115,115,0.18551862501411165,0.1875
31,31,0.18576147144425903,0.1953125
38,38,0.18600661840783062,0.203125
78,78,0.18607143341685628,0.2109375
26,26,0.18607213741684347,0.21875
2,2,0.1860721374168528,0.2265625
20,20,0.18607776941685472,0.234375
37,37,0.18607776941685472,0.2421875
84,84,0.18607776941686893,0.25
122,122,0.18607776941686893,0.2578125
39,39,0.18608086701685522,0.265625
112,112,0.18608269741685035,0.2734375
22,22,0.18608269741685746,0.28125
35,35,0.18608269741685746,0.2890625
73,73,0.18608480941682615,0.296875
74,74,0.18608480941682615,0.3046875
101,101,0.18608480941682615,0.3125
103,103,0.18608480941682615,0.3203125
111,111,0.18608480941682615,0.328125
116,116,0.18608480941682615,0.3359375
117,117,0.18608480941682615,0.34375
7,7,0.1860848094168528,0.3515625
55,55,0.18608480941685457,0.359375
62,62,0.18608480941685457,0.3671875
32,32,0.18608480941686167,0.375
30,30,0.18608551341684887,0.3828125
36,36,0.18608551341685597,0.390625
114,114,0.18608832941683318,0.3984375
71,71,0.1861052254168527,0.40625
76,76,0.18610522541686692,0.4140625
53,53,0.1871466273260296,0.421875
27,27,0.18755790483884738,0.4296875
3,3,0.18755790483885537,0.4375
23,23,0.18764590483884547,0.4453125
79,79,0.1876459048388881,0.453125
113,113,0.1876459048388881,0.4609375
104,104,0.18768497683885244,0.46875
56,56,0.18768497683888086,0.4765625
75,75,0.18780465683886405,0.484375
85,85,0.18780465683886405,0.4921875
105,105,0.18780465683886405,0.5
118,118,0.18784126483885188,0.5078125
120,120,0.18784126483885188,0.515625
121,121,0.18784126483885188,0.5234375
57,57,0.1878412648388803,0.53125
21,21,0.18784830483885173,0.5390625
63,63,0.18784830483886594,0.546875
102,102,0.18784830483886594,0.5546875
124,123,0.18784830483886594,0.5625
127,127,0.18785041683887016,0.5703125
95,95,0.18862806823628375,0.578125
106,106,0.18862806823628375,0.5859375
42,42,0.18862806823631217,0.59375
68,68,0.18864721703630494,0.6015625
58,58,0.18887658023628262,0.609375
80,80,0.18887658023629683,0.6171875
119,119,0.18887658023629683,0.625
28,28,0.18902864423628785,0.6328125
4,4,0.18921942823629312,0.640625
29,29,0.1892330389029553,0.6484375
69,69,0.1900607719543217,0.65625
10,10,0.1900607719543288,0.6640625
91,91,0.1900607719543359,0.671875
81,81,0.19034941195434385,0.6796875
107,107,0.19034941195434385,0.6875
108,108,0.19034941195434385,0.6953125
92,92,0.19037897995431763,0.703125
59,59,0.19038799115433847,0.7109375
5,5,0.190640867954329,0.71875
70,70,0.19132314034821718,0.7265625
100,100,0.19160490572605227,0.734375
17,17,0.19192386354821522,0.7421875
82,82,0.1919380843482088,0.75
45,45,0.19295818256935604,0.7578125
13,13,0.19295818256937025,0.765625
67,67,0.19323978654868768,0.7734375
41,41,0.19329399454871066,0.78125
15,15,0.1934225879026954,0.7890625
46,46,0.19353670874635043,0.796875
47,47,0.19353670874635043,0.8046875
48,48,0.19394291674635156,0.8125
14,14,0.19405766874634622,0.8203125
16,16,0.19405766874634622,0.828125
126,126,0.19447012546208953,0.8359375
9,9,0.19447012546210374,0.84375
90,90,0.19449717095150731,0.8515625
49,49,0.1946774674414513,0.859375
19,19,0.19495194306210095,0.8671875
50,50,0.1966307321784484,0.875
12,12,0.19669296046174267,0.8828125
44,44,0.19669296046174622,0.890625
51,51,0.19706408652791652,0.8984375
52,52,0.1981647221686842,0.90625
94,94,0.19909745703961335,0.9140625
99,99,0.22031070789580554,0.921875
88,88,0.22069839429579474,0.9296875
40,40,0.22070430789578666,0.9375
66,66,0.22070923589576807,0.9453125
8,8,0.22241178949578888,0.953125
125,125,0.2224117894957942,0.9609375
18,18,0.22245543749578545,0.96875
43,43,0.2239412998957846,0.9765625
11,11,0.22394129989578815,0.984375
93,93,0.22579528389582038,0.9921875
89,89,0.22739948869579507,1.0
