,Request Id,request_model_execution_time_normalized,cdf
123,124,0.011115184678502178,0.0078125
97,97,0.011208721815906016,0.015625
127,127,0.01121190790794115,0.0234375
32,32,0.011314680602271828,0.03125
96,96,0.011428989585120168,0.0390625
85,85,0.011493323465728848,0.046875
31,31,0.011590217701322007,0.0546875
23,23,0.011593038247007118,0.0625
63,63,0.011609856015816525,0.0703125
59,59,0.011667951173480195,0.078125
95,95,0.011687869851270728,0.0859375
108,108,0.011698956272009816,0.09375
109,109,0.011708464569943403,0.1015625
75,75,0.011729638115260087,0.109375
62,62,0.011737474766259188,0.1171875
71,71,0.011745836868744978,0.125
98,98,0.011759173332175842,0.1328125
84,84,0.01177368301860954,0.140625
37,37,0.011783069067710613,0.1484375
29,29,0.011785557656916787,0.15625
114,114,0.011810076088741283,0.1640625
36,36,0.011819938505831159,0.171875
22,22,0.011860761307194231,0.1796875
4,4,0.011887714274034329,0.1875
33,33,0.011895368296274545,0.1953125
113,113,0.011897677921535238,0.203125
30,30,0.011898495064932743,0.2109375
126,126,0.011979854736527861,0.21875
34,34,0.011990345641307394,0.2265625
61,61,0.011993217684874564,0.234375
35,35,0.01202229663486922,0.2421875
83,83,0.012029244887224882,0.25
58,58,0.012033770080628578,0.2578125
74,74,0.012034110049656464,0.265625
94,94,0.01205184847730115,0.2734375
28,28,0.012057112391438755,0.28125
60,60,0.012065082838778548,0.2890625
73,73,0.012083375544954587,0.296875
100,100,0.012103628919325274,0.3046875
107,107,0.012143879206773784,0.3125
53,53,0.012154836704799056,0.3203125
112,112,0.012165836719922428,0.328125
19,19,0.012168042557578711,0.3359375
21,21,0.01216978389006558,0.34375
111,111,0.01217761368764031,0.3515625
81,81,0.012204306612005065,0.359375
125,125,0.012236459435922852,0.3671875
119,119,0.012287928697581116,0.375
72,72,0.012300160073346411,0.3828125
57,57,0.012308801523541161,0.390625
27,27,0.012310565829803872,0.3984375
93,93,0.012313808526696125,0.40625
70,70,0.012339242918932684,0.4140625
3,3,0.012348489938317633,0.421875
17,17,0.012353649172942729,0.4296875
99,99,0.01235418250186246,0.4375
120,120,0.01236564010092063,0.4453125
116,116,0.0124004906531354,0.453125
110,110,0.01240328209581992,0.4609375
20,20,0.012421258366520346,0.46875
18,18,0.012421960040115892,0.4765625
101,101,0.012426020147132347,0.484375
52,52,0.012452937129532292,0.4921875
82,82,0.01248023617554485,0.5
122,122,0.012486726428354527,0.5078125
117,117,0.012493323525700203,0.515625
124,123,0.012493929566442834,0.5234375
80,80,0.012514983628849827,0.53125
106,106,0.012516977232758887,0.5390625
118,118,0.012548818172181711,0.546875
26,26,0.012564209093758685,0.5546875
115,115,0.01259902319677473,0.5625
2,2,0.012599058839772448,0.5703125
56,56,0.012607124119696172,0.578125
121,121,0.012637676295147776,0.5859375
69,69,0.012646922335048721,0.59375
92,92,0.012677705595692638,0.6015625
24,24,0.012688248888679603,0.609375
68,68,0.01269351128409166,0.6171875
5,5,0.012748190709256823,0.625
105,105,0.012774956546267369,0.6328125
79,79,0.012798438464286063,0.640625
25,25,0.012813301935018326,0.6484375
1,1,0.01281428094802721,0.65625
55,55,0.012850459596897693,0.6640625
54,54,0.012877497196021683,0.671875
51,51,0.012879471949583306,0.6796875
16,16,0.012886621095221618,0.6875
67,67,0.012969470555717656,0.6953125
104,104,0.013008768302189172,0.703125
0,0,0.013032932157146944,0.7109375
78,78,0.013035563552291804,0.71875
86,86,0.013109697082369353,0.7265625
102,102,0.01311199494506157,0.734375
64,64,0.01314064758189589,0.7421875
91,91,0.013150065776629912,0.75
50,50,0.013161032958290403,0.7578125
90,90,0.013167859084938885,0.765625
14,14,0.013186771850725101,0.7734375
15,15,0.013195550638505516,0.78125
66,66,0.01321893110354212,0.7890625
103,103,0.013226444893380295,0.796875
77,77,0.013228190150207712,0.8046875
76,76,0.013281392813731275,0.8125
65,65,0.013418636705221592,0.8203125
89,89,0.013428778719952097,0.828125
49,49,0.013437569573683718,0.8359375
38,38,0.013605609134537707,0.84375
88,88,0.013674870462387422,0.8515625
13,13,0.013708354785462349,0.859375
48,48,0.013831382864513438,0.8671875
87,87,0.013917726503726283,0.875
12,12,0.013988368106745462,0.8828125
39,39,0.014072635462675053,0.890625
10,10,0.014124466803259348,0.8984375
7,7,0.01412815766540593,0.90625
11,11,0.014239316074180799,0.9140625
47,47,0.014346991781259831,0.921875
9,9,0.01436467348415285,0.9296875
6,6,0.014369912365749552,0.9375
8,8,0.014609970268930406,0.9453125
46,46,0.01464574839118891,0.953125
45,45,0.014903505754776008,0.9609375
44,44,0.015155627162666557,0.96875
43,43,0.015400981570124631,0.9765625
42,42,0.015521858040084513,0.984375
41,41,0.01569575328809203,0.9921875
40,40,0.015931180662872475,1.0
