,Request Id,prefill_e2e_time,cdf
76,76,0.1700335493566172,0.0078125
78,78,0.1700335493566172,0.015625
83,83,0.1700335493566172,0.0234375
84,84,0.1700335493566172,0.03125
85,85,0.1700335493566172,0.0390625
86,86,0.1700335493566172,0.046875
87,88,0.1700335493566172,0.0546875
88,87,0.1700335493566172,0.0625
93,93,0.1700335493566172,0.0703125
95,95,0.1700335493566172,0.078125
96,96,0.1700335493566172,0.0859375
97,97,0.1700335493566172,0.09375
98,98,0.1700335493566172,0.1015625
99,99,0.1700335493566172,0.109375
102,102,0.1700335493566172,0.1171875
103,103,0.1700335493566172,0.125
109,109,0.1700335493566172,0.1328125
110,110,0.1700335493566172,0.140625
111,111,0.1700335493566172,0.1484375
112,112,0.1700335493566172,0.15625
115,115,0.1700335493566172,0.1640625
116,116,0.1700335493566172,0.171875
118,118,0.1700335493566172,0.1796875
122,122,0.1700335493566172,0.1875
123,123,0.1700335493566172,0.1953125
127,127,0.1700335493566172,0.203125
7,6,0.17003354935662784,0.2109375
8,8,0.17003354935662784,0.21875
11,12,0.17003354935662962,0.2265625
0,0,0.17003354935663006,0.234375
1,1,0.17003354935663006,0.2421875
2,2,0.17003354935663006,0.25
17,17,0.1700335493566314,0.2578125
21,21,0.1700335493566314,0.265625
22,22,0.1700335493566314,0.2734375
24,24,0.1700335493566314,0.28125
25,25,0.1700335493566314,0.2890625
27,27,0.1700335493566314,0.296875
29,29,0.1700335493566314,0.3046875
32,32,0.1700335493566314,0.3125
33,33,0.1700335493566314,0.3203125
35,35,0.1700335493566314,0.328125
37,37,0.1700335493566456,0.3359375
38,38,0.1700335493566456,0.34375
39,39,0.1700335493566456,0.3515625
40,40,0.1700335493566456,0.359375
47,47,0.1700335493566456,0.3671875
50,50,0.1700335493566456,0.375
54,54,0.1700335493566456,0.3828125
57,57,0.1700335493566456,0.390625
58,58,0.1700335493566456,0.3984375
60,60,0.1700335493566456,0.40625
63,63,0.1700335493566456,0.4140625
64,64,0.1700335493566456,0.421875
65,65,0.1700335493566456,0.4296875
66,67,0.1700335493566456,0.4375
70,70,0.1700335493566456,0.4453125
71,71,0.1700335493566456,0.453125
72,72,0.1700335493566456,0.4609375
36,36,0.1859316349898279,0.46875
13,13,0.1861189967203991,0.4765625
90,89,0.1869389845095668,0.484375
6,7,0.18721065928687963,0.4921875
68,68,0.18755799530536876,0.5
56,56,0.18794377666242212,0.5078125
126,126,0.1880554961906853,0.515625
79,79,0.18816293681572915,0.5234375
107,107,0.18819494715177143,0.53125
89,90,0.18842979294521456,0.5390625
114,114,0.18849721515368856,0.546875
3,3,0.18853635972542993,0.5546875
42,42,0.18868639178009516,0.5625
104,104,0.18879786079065752,0.5703125
44,44,0.1893181159317976,0.578125
45,46,0.18932900594020907,0.5859375
61,61,0.18976601591049302,0.59375
23,23,0.19004883345677115,0.6015625
91,91,0.19073686551419655,0.609375
12,11,0.19075885697764328,0.6171875
67,66,0.19084015543690214,0.625
28,28,0.19089251586601108,0.6328125
100,100,0.19095045621813256,0.640625
92,92,0.19096253496081772,0.6484375
19,19,0.19101132062620607,0.65625
16,16,0.19108021554087173,0.6640625
34,34,0.1914982456491856,0.671875
113,113,0.19150358471483742,0.6796875
31,31,0.1917485682919704,0.6875
105,106,0.19194019433390963,0.6953125
48,48,0.19198851555441365,0.703125
5,5,0.19207357634512867,0.7109375
26,26,0.19214753152780162,0.71875
55,55,0.19223469428150963,0.7265625
121,121,0.1924933077684159,0.734375
73,73,0.19299208459568717,0.7421875
49,49,0.19300687885160528,0.75
106,105,0.19309113228928254,0.7578125
15,15,0.19325541712992944,0.765625
53,53,0.19327551308124669,0.7734375
69,69,0.19334065823456115,0.78125
124,124,0.19343240184571187,0.7890625
120,120,0.19360928945843625,0.796875
101,101,0.19362176868483516,0.8046875
82,82,0.1938672956498806,0.8125
43,43,0.19413675666460506,0.8203125
51,51,0.1941793191053307,0.828125
46,45,0.19444542639288898,0.8359375
77,77,0.195103240699126,0.84375
14,14,0.19534621537891894,0.8515625
80,80,0.19557969205192194,0.859375
117,117,0.19559232279786443,0.8671875
62,62,0.1956159329999423,0.875
30,30,0.1956342340587227,0.8828125
18,18,0.1956525404296805,0.890625
4,4,0.19581417377163302,0.8984375
10,10,0.19585165551767503,0.90625
20,20,0.1959470510678294,0.9140625
75,75,0.1960555982729204,0.921875
125,125,0.1961705304296686,0.9296875
81,81,0.19658606646271437,0.9375
59,59,0.1966161704783218,0.9453125
74,74,0.19669284039764534,0.953125
52,52,0.1967515869913825,0.9609375
119,119,0.19691858316755884,0.96875
108,108,0.19867127430717346,0.9765625
94,94,0.224154449727763,0.984375
41,41,0.26161005385694125,0.9921875
9,9,0.2949247799560055,1.0
