,Request Id,prefill_time_execution_plus_preemption,cdf
76,76,0.1700335493566172,0.0078125
78,78,0.1700335493566172,0.015625
83,83,0.1700335493566172,0.0234375
84,84,0.1700335493566172,0.03125
85,85,0.1700335493566172,0.0390625
86,86,0.1700335493566172,0.046875
87,88,0.1700335493566172,0.0546875
88,87,0.1700335493566172,0.0625
93,93,0.1700335493566172,0.0703125
95,95,0.1700335493566172,0.078125
96,96,0.1700335493566172,0.0859375
97,97,0.1700335493566172,0.09375
98,98,0.1700335493566172,0.1015625
99,99,0.1700335493566172,0.109375
102,102,0.1700335493566172,0.1171875
103,103,0.1700335493566172,0.125
109,109,0.1700335493566172,0.1328125
110,110,0.1700335493566172,0.140625
111,111,0.1700335493566172,0.1484375
112,112,0.1700335493566172,0.15625
115,115,0.1700335493566172,0.1640625
116,116,0.1700335493566172,0.171875
118,118,0.1700335493566172,0.1796875
122,122,0.1700335493566172,0.1875
123,123,0.1700335493566172,0.1953125
127,127,0.1700335493566172,0.203125
7,6,0.17003354935662784,0.2109375
8,8,0.17003354935662784,0.21875
11,12,0.17003354935662962,0.2265625
0,0,0.17003354935663006,0.234375
1,1,0.17003354935663006,0.2421875
2,2,0.17003354935663006,0.25
17,17,0.1700335493566314,0.2578125
21,21,0.1700335493566314,0.265625
22,22,0.1700335493566314,0.2734375
24,24,0.1700335493566314,0.28125
25,25,0.1700335493566314,0.2890625
27,27,0.1700335493566314,0.296875
29,29,0.1700335493566314,0.3046875
32,32,0.1700335493566314,0.3125
33,33,0.1700335493566314,0.3203125
35,35,0.1700335493566314,0.328125
37,37,0.1700335493566456,0.3359375
38,38,0.1700335493566456,0.34375
39,39,0.1700335493566456,0.3515625
40,40,0.1700335493566456,0.359375
47,47,0.1700335493566456,0.3671875
50,50,0.1700335493566456,0.375
54,54,0.1700335493566456,0.3828125
57,57,0.1700335493566456,0.390625
58,58,0.1700335493566456,0.3984375
60,60,0.1700335493566456,0.40625
63,63,0.1700335493566456,0.4140625
64,64,0.1700335493566456,0.421875
65,65,0.1700335493566456,0.4296875
66,67,0.1700335493566456,0.4375
70,70,0.1700335493566456,0.4453125
71,71,0.1700335493566456,0.453125
72,72,0.1700335493566456,0.4609375
68,68,0.18537449701408093,0.46875
26,26,0.18537449701409514,0.4765625
34,34,0.18537449701409514,0.484375
3,3,0.18537449701409603,0.4921875
77,77,0.18537449701412356,0.5
41,41,0.1853915850140737,0.5078125
9,9,0.18539158501409503,0.515625
23,23,0.18539158501409503,0.5234375
73,73,0.18539158501411634,0.53125
79,79,0.18539158501411634,0.5390625
89,90,0.18539158501411634,0.546875
90,89,0.18539158501411634,0.5546875
94,94,0.18539158501411634,0.5625
48,48,0.18547753701407999,0.5703125
55,55,0.18547753701407999,0.578125
61,61,0.18547753701407999,0.5859375
10,10,0.18547753701409597,0.59375
106,105,0.18547753701412262,0.6015625
113,113,0.18547753701412262,0.609375
117,117,0.18547753701412262,0.6171875
42,42,0.1855108170140909,0.625
67,66,0.1855108170140909,0.6328125
120,120,0.1855108170140909,0.640625
4,4,0.18551081701409533,0.6484375
19,19,0.185510817014098,0.65625
20,20,0.185510817014098,0.6640625
30,30,0.185510817014098,0.671875
105,106,0.1855115850140976,0.6796875
104,104,0.18551222501406528,0.6875
114,114,0.18551222501406528,0.6953125
121,121,0.18551222501406528,0.703125
124,124,0.18551222501406528,0.7109375
6,7,0.18551222501409548,0.71875
16,16,0.18551222501409725,0.7265625
18,18,0.18551222501409725,0.734375
36,36,0.1855122250141079,0.7421875
53,53,0.1855122250141079,0.75
31,31,0.18551273701409343,0.7578125
101,101,0.18551273701410764,0.765625
125,125,0.18551273701410764,0.7734375
28,28,0.18551862501410454,0.78125
100,100,0.18551862501411165,0.7890625
43,43,0.18607143341685628,0.796875
56,56,0.18607143341685628,0.8046875
69,69,0.18607776941685472,0.8125
119,119,0.18607776941686893,0.8203125
126,126,0.18607776941686893,0.828125
12,11,0.18608269741685035,0.8359375
80,80,0.18608269741685035,0.84375
74,74,0.18608480941682615,0.8515625
91,91,0.18608480941682615,0.859375
107,107,0.18608480941682615,0.8671875
13,13,0.18608480941685102,0.875
44,44,0.18608480941685457,0.8828125
62,62,0.18608480941685457,0.890625
5,5,0.18608551341685242,0.8984375
59,59,0.18608551341685597,0.90625
81,81,0.18608551341685597,0.9140625
45,46,0.18767716243887378,0.921875
46,45,0.18768497683888086,0.9296875
75,75,0.18780465683886405,0.9375
108,108,0.18780465683886405,0.9453125
82,82,0.18784126483885188,0.953125
14,14,0.18784548883885321,0.9609375
49,49,0.18784830483886594,0.96875
51,51,0.18784830483886594,0.9765625
92,92,0.18785041683887016,0.984375
52,52,0.1885514233628527,0.9921875
15,15,0.1890286442362914,1.0
