,Request Id,prefill_time_execution_plus_preemption_normalized,cdf
76,76,8.302419402178574e-05,0.0078125
78,78,8.302419402178574e-05,0.015625
83,83,8.302419402178574e-05,0.0234375
84,84,8.302419402178574e-05,0.03125
85,85,8.302419402178574e-05,0.0390625
86,86,8.302419402178574e-05,0.046875
87,88,8.302419402178574e-05,0.0546875
88,87,8.302419402178574e-05,0.0625
93,93,8.302419402178574e-05,0.0703125
95,95,8.302419402178574e-05,0.078125
96,96,8.302419402178574e-05,0.0859375
97,97,8.302419402178574e-05,0.09375
98,98,8.302419402178574e-05,0.1015625
99,99,8.302419402178574e-05,0.109375
102,102,8.302419402178574e-05,0.1171875
103,103,8.302419402178574e-05,0.125
109,109,8.302419402178574e-05,0.1328125
110,110,8.302419402178574e-05,0.140625
111,111,8.302419402178574e-05,0.1484375
112,112,8.302419402178574e-05,0.15625
115,115,8.302419402178574e-05,0.1640625
116,116,8.302419402178574e-05,0.171875
118,118,8.302419402178574e-05,0.1796875
122,122,8.302419402178574e-05,0.1875
123,123,8.302419402178574e-05,0.1953125
127,127,8.302419402178574e-05,0.203125
7,6,8.302419402179094e-05,0.2109375
8,8,8.302419402179094e-05,0.21875
11,12,8.302419402179181e-05,0.2265625
0,0,8.302419402179202e-05,0.234375
1,1,8.302419402179202e-05,0.2421875
2,2,8.302419402179202e-05,0.25
17,17,8.302419402179267e-05,0.2578125
21,21,8.302419402179267e-05,0.265625
22,22,8.302419402179267e-05,0.2734375
24,24,8.302419402179267e-05,0.28125
25,25,8.302419402179267e-05,0.2890625
27,27,8.302419402179267e-05,0.296875
29,29,8.302419402179267e-05,0.3046875
32,32,8.302419402179267e-05,0.3125
33,33,8.302419402179267e-05,0.3203125
35,35,8.302419402179267e-05,0.328125
37,37,8.302419402179961e-05,0.3359375
38,38,8.302419402179961e-05,0.34375
39,39,8.302419402179961e-05,0.3515625
40,40,8.302419402179961e-05,0.359375
47,47,8.302419402179961e-05,0.3671875
50,50,8.302419402179961e-05,0.375
54,54,8.302419402179961e-05,0.3828125
57,57,8.302419402179961e-05,0.390625
58,58,8.302419402179961e-05,0.3984375
60,60,8.302419402179961e-05,0.40625
63,63,8.302419402179961e-05,0.4140625
64,64,8.302419402179961e-05,0.421875
65,65,8.302419402179961e-05,0.4296875
66,67,8.302419402179961e-05,0.4375
70,70,8.302419402179961e-05,0.4453125
71,71,8.302419402179961e-05,0.453125
72,72,8.302419402179961e-05,0.4609375
68,68,9.05148911201567e-05,0.46875
26,26,9.051489112016364e-05,0.4765625
34,34,9.051489112016364e-05,0.484375
3,3,9.051489112016408e-05,0.4921875
77,77,9.051489112017752e-05,0.5
41,41,9.052323487015318e-05,0.5078125
9,9,9.052323487016359e-05,0.515625
23,23,9.052323487016359e-05,0.5234375
73,73,9.0523234870174e-05,0.53125
79,79,9.0523234870174e-05,0.5390625
89,90,9.0523234870174e-05,0.546875
90,89,9.0523234870174e-05,0.5546875
94,94,9.0523234870174e-05,0.5625
48,48,9.056520362015624e-05,0.5703125
55,55,9.056520362015624e-05,0.578125
61,61,9.056520362015624e-05,0.5859375
10,10,9.056520362016405e-05,0.59375
106,105,9.056520362017706e-05,0.6015625
113,113,9.056520362017706e-05,0.609375
117,117,9.056520362017706e-05,0.6171875
42,42,9.058145362016157e-05,0.625
67,66,9.058145362016157e-05,0.6328125
120,120,9.058145362016157e-05,0.640625
4,4,9.058145362016374e-05,0.6484375
19,19,9.058145362016504e-05,0.65625
20,20,9.058145362016504e-05,0.6640625
30,30,9.058145362016504e-05,0.671875
105,106,9.058182862016484e-05,0.6796875
104,104,9.058214112014906e-05,0.6875
114,114,9.058214112014906e-05,0.6953125
121,121,9.058214112014906e-05,0.703125
124,124,9.058214112014906e-05,0.7109375
6,7,9.058214112016381e-05,0.71875
16,16,9.058214112016467e-05,0.7265625
18,18,9.058214112016467e-05,0.734375
36,36,9.058214112016988e-05,0.7421875
53,53,9.058214112016988e-05,0.75
31,31,9.058239112016281e-05,0.7578125
101,101,9.058239112016975e-05,0.765625
125,125,9.058239112016975e-05,0.7734375
28,28,9.058526612016823e-05,0.78125
100,100,9.05852661201717e-05,0.7890625
43,43,9.085519209807436e-05,0.796875
56,56,9.085519209807436e-05,0.8046875
69,69,9.08582858480736e-05,0.8125
119,119,9.085828584808053e-05,0.8203125
126,126,9.085828584808053e-05,0.828125
12,11,9.086069209807146e-05,0.8359375
80,80,9.086069209807146e-05,0.84375
74,74,9.086172334805964e-05,0.8515625
91,91,9.086172334805964e-05,0.859375
107,107,9.086172334805964e-05,0.8671875
13,13,9.086172334807179e-05,0.875
44,44,9.086172334807352e-05,0.8828125
62,62,9.086172334807352e-05,0.890625
5,5,9.086206709807247e-05,0.8984375
59,59,9.08620670980742e-05,0.90625
81,81,9.08620670980742e-05,0.9140625
45,46,9.163923947210634e-05,0.921875
46,45,9.16430550971098e-05,0.9296875
75,75,9.170149259710159e-05,0.9375
108,108,9.170149259710159e-05,0.9453125
82,82,9.171936759709565e-05,0.953125
14,14,9.17214300970963e-05,0.9609375
49,49,9.172280509710251e-05,0.96875
51,51,9.172280509710251e-05,0.9765625
92,92,9.172383634710457e-05,0.984375
52,52,9.206612468889291e-05,0.9921875
15,15,9.229914269350166e-05,1.0
