,Request Id,request_scheduling_delay,cdf
0,1,0.0,0.0078125
1,0,0.0,0.015625
2,2,0.0,0.0234375
3,3,0.0,0.03125
5,5,0.0,0.0390625
6,6,0.0,0.046875
7,7,0.0,0.0546875
8,8,0.0,0.0625
9,9,0.0,0.0703125
17,17,0.0,0.078125
18,18,0.0,0.0859375
20,20,0.0,0.09375
21,21,0.0,0.1015625
22,22,0.0,0.109375
23,23,0.0,0.1171875
24,24,0.0,0.125
25,25,0.0,0.1328125
26,26,0.0,0.140625
27,27,0.0,0.1484375
29,29,0.0,0.15625
30,30,0.0,0.1640625
31,31,0.0,0.171875
32,32,0.0,0.1796875
33,33,0.0,0.1875
34,34,0.0,0.1953125
35,35,0.0,0.203125
36,36,0.0,0.2109375
37,37,0.0,0.21875
38,38,0.0,0.2265625
39,39,0.0,0.234375
40,40,0.0,0.2421875
41,41,0.0,0.25
53,53,0.0,0.2578125
54,54,0.0,0.265625
55,55,0.0,0.2734375
56,56,0.0,0.28125
57,57,0.0,0.2890625
60,60,0.0,0.296875
61,61,0.0,0.3046875
62,62,0.0,0.3125
63,63,0.0,0.3203125
64,64,0.0,0.328125
65,65,0.0,0.3359375
66,67,0.0,0.34375
67,66,0.0,0.3515625
71,71,0.0,0.359375
72,72,0.0,0.3671875
73,73,0.0,0.375
74,74,0.0,0.3828125
75,75,0.0,0.390625
76,76,0.0,0.3984375
77,77,0.0,0.40625
78,78,0.0,0.4140625
79,79,0.0,0.421875
83,83,0.0,0.4296875
84,84,0.0,0.4375
85,85,0.0,0.4453125
86,86,0.0,0.453125
87,87,0.0,0.4609375
88,89,0.0,0.46875
89,88,0.0,0.4765625
93,93,0.0,0.484375
94,94,0.0,0.4921875
96,96,0.0,0.5
97,97,0.0,0.5078125
98,98,0.0,0.515625
99,99,0.0,0.5234375
100,100,0.0,0.53125
101,101,0.0,0.5390625
102,102,0.0,0.546875
103,103,0.0,0.5546875
104,104,0.0,0.5625
105,105,0.0,0.5703125
109,109,0.0,0.578125
110,110,0.0,0.5859375
111,111,0.0,0.59375
112,112,0.0,0.6015625
113,113,0.0,0.609375
114,114,0.0,0.6171875
115,115,0.0,0.625
116,116,0.0,0.6328125
117,117,0.0,0.640625
118,118,0.0,0.6484375
120,120,0.0,0.65625
121,121,0.0,0.6640625
122,122,0.0,0.671875
123,123,0.0,0.6796875
124,124,0.0,0.6875
127,127,0.0,0.6953125
80,80,0.000275057395526801,0.703125
125,125,0.0004870774613436879,0.7109375
107,107,0.0006286484480142462,0.71875
43,43,0.0010338759455095214,0.7265625
19,19,0.0016375265457959642,0.734375
106,106,0.0017821841404384031,0.7421875
14,14,0.002293487462235788,0.75
81,81,0.0024699573884561232,0.7578125
58,58,0.0028809273800760593,0.765625
46,46,0.0029103649056025915,0.7734375
51,51,0.0031039181183274422,0.78125
44,44,0.0036525477265172412,0.7890625
126,126,0.003754451787273183,0.796875
68,68,0.0038246911534116634,0.8046875
69,69,0.005208676124581757,0.8125
50,50,0.005757491102386325,0.8203125
13,13,0.005805664901178176,0.828125
11,11,0.005881730712616218,0.8359375
90,90,0.006156950953339901,0.84375
16,16,0.006366068125274182,0.8515625
15,15,0.006415940648306417,0.859375
108,108,0.006768689005440365,0.8671875
82,82,0.007038941114814179,0.875
91,91,0.007373541473214118,0.8828125
49,49,0.00779742035113884,0.890625
52,52,0.008179872017620937,0.8984375
28,28,0.008286013946737114,0.90625
70,70,0.008314942993422392,0.9140625
4,4,0.008344577964654931,0.921875
59,59,0.008361190162077037,0.9296875
92,92,0.00837514653812832,0.9375
48,48,0.008537230657765349,0.9453125
47,47,0.008566284205898,0.953125
95,95,0.008806071630971246,0.9609375
45,45,0.01029367071188858,0.96875
10,10,0.010374118503579055,0.9765625
12,12,0.010427120181192961,0.984375
119,119,0.010552280429095617,0.9921875
42,42,0.010633519874801323,1.0
